file,title,author,current_t,note_year,master_id,master_time,suggested_t,status,confidence,evidence,verification_status,id
A Princess in Theory.md,A Princess in Theory,艾莉莎·科尔,T6,2018,,,T6,PASS,HIGH,note.year=2018,自动通过,WL-WORK-1936
A Rumor of War.md,A Rumor of War,菲利普·卡普托,T5,1977,,,T5,PASS,HIGH,note.year=1977,自动通过,WL-WORK-1937
A Small Place.md,A Small Place,牙买加·金凯德,T6,1988,,,T6,PASS,HIGH,note.year=1988,自动通过,WL-WORK-1343
A Time of Gifts.md,A Time of Gifts,帕特里克·利·弗莫尔,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1344
A Tour on the Prairies.md,A Tour on the Prairies,华盛顿·欧文,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2157
A Woman's Journey Round the World.md,A Woman's Journey Round the World,伊达·普费弗尔,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1345
ABC谋杀案.md,ABC谋杀案,阿加莎·克里斯蒂,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0025
Across the Black Waters.md,Across the Black Waters,穆尔克·拉吉·安纳德,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1938
All You Need Is Kill.md,All You Need Is Kill,樱坂洋,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0418
Allan Quatermain.md,Allan Quatermain,哈格德,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0492
Almanac of the Dead.md,Almanac of the Dead,莱斯利·马蒙·西尔科,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2159
Always Only You.md,Always Only You,克洛伊·利泽,T6,2020,,,T6,PASS,HIGH,note.year=2020,自动通过,WL-WORK-1939
America Is in the Heart.md,America Is in the Heart,卡洛斯·布洛桑,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0914
Amsterdam.md,Amsterdam,伊恩·麦克尤恩,T6,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3059
An Area of Darkness.md,An Area of Darkness,V.S.奈保尔,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1348
Angel Down.md,Angel Down,丹尼尔·克劳斯,T6,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3034
Aniceto el Gallo.md,Aniceto el Gallo,阿斯卡苏比,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2160
Anton Reiser.md,Anton Reiser,卡尔·菲利普·莫里茨,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0915
Anything for Billy.md,Anything for Billy,拉里·麦克默特里,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2161
Arabella.md,Arabella,乔吉特·海耶,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1940
Arabian Sands.md,Arabian Sands,威尔弗雷德·塞西格,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1349
Astoria.md,Astoria,华盛顿·欧文,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2163
"Astucia, el jefe de los Hermanos de la Hoja.md","Astucia, el jefe de los Hermanos de la Hoja",路易斯·G.因克兰,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2164
Audition.md,Audition,村上龙,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0493
Auschwitz and After.md,Auschwitz and After,夏洛特·德尔博,T5,1971,,,T5,PASS,HIGH,note.year=1971,自动通过,WL-WORK-1941
Ayesha at Last.md,Ayesha at Last,乌兹玛·贾拉勒丁,T6,2018,,,T6,PASS,HIGH,note.year=2018,自动通过,WL-WORK-1942
A代表不在场证明.md,A代表不在场证明,苏·格拉夫顿,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0095
Banalata Sen.md,Banalata Sen,吉巴纳南达·达斯,T4,1942,,,T4,PASS,HIGH,note.year=1942,自动通过,WL-WORK-1524
Bandits.md,Bandits,艾瑞克·霍布斯鲍姆,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2165
Bar-20.md,Bar-20,克拉伦斯·E.马尔福德,T4,1907,,,T4,PASS,HIGH,note.year=1907,自动通过,WL-WORK-2166
Bardelys the Magnificent.md,Bardelys the Magnificent,拉斐尔·萨巴蒂尼,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2167
Battle-Pieces.md,Battle-Pieces,赫尔曼·麦尔维尔,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1943
Beach Read.md,Beach Read,埃米莉·亨利,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1944
Before I Let Go.md,Before I Let Go,肯尼迪·瑞安,T6,2022,,,T6,PASS,HIGH,note.year=2022,自动通过,WL-WORK-1945
Before She Sleeps.md,Before She Sleeps,比娜·沙阿,T6,2018,,,T6,PASS,HIGH,note.year=2018,自动通过,WL-WORK-0916
Before the Fall.md,Before the Fall,诺亚·霍利,T6,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3143
Beirut Blues.md,Beirut Blues,哈南·谢赫,T6,1992,,,T6,PASS,HIGH,note.year=1992,自动通过,WL-WORK-1946
Bellarion the Fortunate.md,Bellarion the Fortunate,拉斐尔·萨巴蒂尼,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2168
Benito Cereno.md,Benito Cereno,赫尔曼·麦尔维尔,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2169
Bet Me.md,Bet Me,珍妮弗·克鲁西,T6,2004,,,T6,PASS,HIGH,note.year=2004,自动通过,WL-WORK-1947
Between the Woods and the Water.md,Between the Woods and the Water,帕特里克·利·弗莫尔,T6,1986,,,T6,PASS,HIGH,note.year=1986,自动通过,WL-WORK-1350
Big Rock Candy Mountain.md,Big Rock Candy Mountain,华莱士·斯特格纳,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2171
Black Lamb and Grey Falcon.md,Black Lamb and Grey Falcon,丽贝卡·韦斯特,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1351
"Black Leopard, Red Wolf.md","Black Leopard, Red Wolf",马龙·詹姆斯,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2173
"Bless Me, Ultima.md","Bless Me, Ultima",鲁道夫·阿纳亚,T5,1972,,,T5,PASS,HIGH,note.year=1972,自动通过,WL-WORK-2174
Blue Heaven.md,Blue Heaven,C.J.博克斯,T6,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3135
Bones.md,Bones,简·伯克,T6,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3126
Book Lovers.md,Book Lovers,埃米莉·亨利,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1949
Borderlands ／ La Frontera.md,Borderlands / La Frontera,格洛丽亚·安扎尔杜亚,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2175
Boyfriend Material.md,Boyfriend Material,亚历克西斯·霍尔,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1950
Bread Givers.md,Bread Givers,安齐娅·叶济尔斯卡,T4,1925,,,T4,PASS,HIGH,note.year=1925,自动通过,WL-WORK-0917
Buffalo Wagons.md,Buffalo Wagons,埃尔默·凯尔顿,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2177
Bugles in the Afternoon.md,Bugles in the Afternoon,欧内斯特·海科克斯,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2178
Burnt Offerings.md,Burnt Offerings,罗伯特·马拉斯科,T5,1973,,,T5,PASS,HIGH,note.year=1973,自动通过,WL-WORK-0494
Butcher's Crossing.md,Butcher's Crossing,约翰·威廉斯,T5,1960,,,T5,PASS,HIGH,note.year=1960,自动通过,WL-WORK-2179
California Girl.md,California Girl,T.杰斐逊·帕克,T6,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3131
Cancioneiro Guasca.md,Cancioneiro Guasca,西蒙斯·洛佩斯·内托,T4,1910,,,T4,PASS,HIGH,note.year=1910,自动通过,WL-WORK-2180
Captain Singleton.md,Captain Singleton,丹尼尔·笛福,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2182
Casos do Romualdo.md,Casos do Romualdo,西蒙斯·洛佩斯·内托,T4,1914,,,T4,PASS,HIGH,note.year=1914,自动通过,WL-WORK-2183
Ceremony.md,Ceremony,莱斯利·马蒙·西尔科,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0918
Certain Dark Things.md,Certain Dark Things,西尔维娅·莫雷诺-加西亚,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0495
Cligès.md,Cligès,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2185
Close Range.md,Close Range,安妮·普鲁,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2186
Cockfight.md,Cockfight,玛丽亚·费尔南达·安普埃罗,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0496
"Cogewea, the Half-Blood.md","Cogewea, the Half-Blood",哀鸽,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2188
Cogewea.md,Cogewea,哀鸽,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2187
Color.md,Color,康蒂·卡伦,T4,1925,,,T4,PASS,HIGH,note.year=1925,自动通过,WL-WORK-1527
Comanche Moon.md,Comanche Moon,拉里·麦克默特里,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2189
Contos Gauchescos.md,Contos Gauchescos,西蒙斯·洛佩斯·内托,T4,1912,,,T4,PASS,HIGH,note.year=1912,自动通过,WL-WORK-2190
Cotillion.md,Cotillion,乔吉特·海耶,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1951
Count Hannibal.md,Count Hannibal,斯坦利·韦曼,T4,1901,,,T4,PASS,HIGH,note.year=1901,自动通过,WL-WORK-2192
Cowboy Songs and Other Frontier Ballads.md,Cowboy Songs and Other Frontier Ballads,约翰·A.洛马克斯,T4,1910,,,T4,PASS,HIGH,note.year=1910,自动通过,WL-WORK-2193
Cracking India.md,Cracking India,巴普西·西德瓦,T6,1988,,,T6,PASS,HIGH,note.year=1988,自动通过,WL-WORK-0919
"Crick Crack, Monkey.md","Crick Crack, Monkey",默尔·霍奇,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1528
Cryptonomicon.md,Cryptonomicon,尼尔·斯蒂芬森,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0920
Cycle of the Werewolf.md,Cycle of the Werewolf,斯蒂芬·金,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0497
Dance Hall of the Dead.md,Dance Hall of the Dead,托尼·希勒曼,T5,1973,,,T5,PASS,HIGH,note.year=1973,自动通过,WL-WORK-2195
Darangen.md,Darangen,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1352
"Dark Continent, My Black Arse.md","Dark Continent, My Black Arse",西赫勒·库马洛,T6,2007,,,T6,PASS,HIGH,note.year=2007,自动通过,WL-WORK-1353
Dark Fire.md,Dark Fire,C.J.桑瑟姆,T6,2004,,,T6,PASS,HIGH,note.year=2004,自动通过,WL-WORK-0921
Dark Lover.md,Dark Lover,J.R.沃德,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1952
Dead in the West.md,Dead in the West,乔·R.兰斯代尔,T6,1986,,,T6,PASS,HIGH,note.year=1986,自动通过,WL-WORK-2196
Dead Man's Walk.md,Dead Man's Walk,拉里·麦克默特里,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2197
Delilah Green Doesn't Care.md,Delilah Green Doesn't Care,阿什莉·赫林·布莱克,T6,2022,,,T6,PASS,HIGH,note.year=2022,自动通过,WL-WORK-1953
Desert Gold.md,Desert Gold,赞恩·格雷,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2198
Desert Solitaire.md,Desert Solitaire,爱德华·艾比,T5,1968,,,T5,PASS,HIGH,note.year=1968,自动通过,WL-WORK-2199
Destination Biafra.md,Destination Biafra,布奇·埃梅切塔,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1954
Devil in Winter.md,Devil in Winter,丽莎·克莱帕斯,T6,2006,,,T6,PASS,HIGH,note.year=2006,自动通过,WL-WORK-1955
Diné Bahaneʼ：纳瓦霍创世故事.md,Diné Bahaneʼ：纳瓦霍创世故事,佚名,T6,1984,,,T6,PASS,HIGH,note.year=1984,自动通过,WL-WORK-1354
Dispatches.md,Dispatches,迈克尔·赫尔,T5,1977,,,T5,PASS,HIGH,note.year=1977,自动通过,WL-WORK-1956
Down River.md,Down River,约翰·哈特,T6,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3134
Dragon Raja.md,Dragon Raja,李英道,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0498
Dreaming in Cuban.md,Dreaming in Cuban,克里斯蒂娜·加西亚,T6,1992,,,T6,PASS,HIGH,note.year=1992,自动通过,WL-WORK-0923
Drum-Taps.md,Drum-Taps,沃尔特·惠特曼,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1957
Dungeon Crawler Carl.md,Dungeon Crawler Carl,马特·丁尼曼,T6,2020,,,T6,PASS,HIGH,note.year=2020,自动通过,WL-WORK-0499
D坂杀人事件.md,D坂杀人事件,江户川乱步,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0147
El escritor argentino y la tradición.md,El escritor argentino y la tradición,博尔赫斯,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2203
El gaucho Martín Fierro.md,El gaucho Martín Fierro,何塞·埃尔南德斯,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2205
El muerto.md,El muerto,博尔赫斯,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2210
El Zarco.md,El Zarco,伊格纳西奥·曼努埃尔·阿尔塔米拉诺,T3,1888,,,T3,PASS,HIGH,note.year=1888,自动通过,WL-WORK-2214
"Ema, la cautiva.md","Ema, la cautiva",塞萨尔·艾拉,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2216
Enemy of God.md,Enemy of God,伯纳德·康威尔,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2217
Erec et Enide.md,Erec et Enide,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2219
Erec.md,Erec,哈特曼·冯·奥埃,T1,1185,,,T1,PASS,HIGH,note.year=1185,自动通过,WL-WORK-2218
Excalibur.md,Excalibur,伯纳德·康威尔,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2222
Exquisite Corpse.md,Exquisite Corpse,波比·Z.布赖特,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0500
Facial Justice.md,Facial Justice,L.P.哈特利,T5,1960,,,T5,PASS,HIGH,note.year=1960,自动通过,WL-WORK-0924
Facundo／ Civilization and Barbarism.md,Facundo: Civilization and Barbarism,萨米恩托,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2224
Feed.md,Feed,M.T.安德森,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0925
Flags on the Bayou.md,Flags on the Bayou,詹姆斯·李·伯克,T6,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3150
Flesh.md,Flesh,戴维·萨莱,T6,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3082
Flint.md,Flint,路易斯·拉穆尔,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2228
Fools Crow.md,Fools Crow,詹姆斯·韦尔奇,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0926
Forbidden.md,Forbidden,贝弗利·詹金斯,T6,2016,,,T6,PASS,HIGH,note.year=2016,自动通过,WL-WORK-1958
Forfeit.md,Forfeit,迪克·弗朗西斯,T5,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3097
Fortune's Fool.md,Fortune's Fool,拉斐尔·萨巴蒂尼,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2229
Fourth Wing.md,Fourth Wing,丽贝卡·亚罗斯,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1959
Frenchman's Creek.md,Frenchman's Creek,达芙妮·杜穆里埃,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2230
From a Crooked Rib.md,From a Crooked Rib,努鲁丁·法拉赫,T5,1970,,,T5,PASS,HIGH,note.year=1970,自动通过,WL-WORK-0927
G.H.受难记.md,G.H.受难记,克拉丽丝·利斯佩克托,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1529
G.（伯杰）.md,G.,约翰·伯杰,T5,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3038
Games of Command.md,Games of Command,林妮娅·辛克莱,T6,2007,,,T6,PASS,HIGH,note.year=2007,自动通过,WL-WORK-1960
Gestaltes en diere.md,Gestaltes en diere,N.P.范维克·劳,T4,1942,,,T4,PASS,HIGH,note.year=1942,自动通过,WL-WORK-1530
"Get a Life, Chloe Brown.md","Get a Life, Chloe Brown",塔莉娅·希伯特,T6,2019,,,T6,PASS,HIGH,note.year=2019,自动通过,WL-WORK-1961
Girls at War.md,Girls at War,钦努阿·阿契贝,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1962
Gnomon.md,Gnomon,尼克·哈卡维,T6,2017,,,T6,PASS,HIGH,note.year=2017,自动通过,WL-WORK-0928
God's Country.md,God's Country,珀西瓦尔·埃弗里特,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2234
Gone.md,Gone,莫·海德,T6,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3138
Grande Sertão／ Veredas.md,Grande Sertão: Veredas,吉马朗埃斯·罗萨,T5,,CANON-203,1956,T5,PASS,HIGH,CANON-203 首次成书_出版时间=1956,自动通过,WL-WORK-2235
Greguerías.md,Greguerías,拉蒙·戈麦斯·德拉塞尔纳,T4,1917,,,T4,PASS,HIGH,note.year=1917,自动通过,WL-WORK-1531
Harmonium.md,Harmonium,华莱士·史蒂文斯,T4,1923,,,T4,PASS,HIGH,note.year=1923,自动通过,WL-WORK-1532
Harvest Home.md,Harvest Home,托马斯·特赖恩,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0502
Her Privates We.md,Her Privates We,弗雷德里克·曼宁,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1964
Holiday.md,Holiday,斯坦利·米德尔顿,T5,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3041
Hombre de la esquina rosada.md,Hombre de la esquina rosada,博尔赫斯,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2238
Hondo.md,Hondo,路易斯·拉穆尔,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2239
Hood.md,Hood,斯蒂芬·R.劳黑德,T6,2006,,,T6,PASS,HIGH,note.year=2006,自动通过,WL-WORK-2240
Hopscotch.md,Hopscotch,布赖恩·加菲尔德,T5,,CANON-182,1963,T5,PASS,HIGH,CANON-182 首次成书_出版时间=1963,需复核,WL-WORK-3102
Hormiga Negra.md,Hormiga Negra,爱德华多·古铁雷斯,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2241
"Horseman, Pass By.md","Horseman, Pass By",拉里·麦克默特里,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2242
House Made of Dawn.md,House Made of Dawn,N.斯科特·莫马迪,T5,1968,,,T5,PASS,HIGH,note.year=1968,自动通过,WL-WORK-2243
How Much of These Hills Is Gold.md,How Much of These Hills Is Gold,张沧畔,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2244
How the Soldier Repairs the Gramophone.md,How the Soldier Repairs the Gramophone,萨沙·斯塔尼希奇,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1965
Human Sacrifices.md,Human Sacrifices,玛丽亚·费尔南达·安普埃罗,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0503
Imperium.md,Imperium,罗伯特·哈里斯,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0929
In an Antique Land.md,In an Antique Land,阿米塔夫·高希,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1355
In Flanders Fields.md,In Flanders Fields,约翰·麦克雷,T4,1915,,,T4,PASS,HIGH,note.year=1915,自动通过,WL-WORK-1967
In Patagonia.md,In Patagonia,布鲁斯·查特文,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1356
In the Castle of My Skin.md,In the Castle of My Skin,乔治·拉明,T5,,CANON-278,1953,T5,PASS,HIGH,CANON-278 首次成书_出版时间=1953,自动通过,WL-WORK-0930
In the Distance.md,In the Distance,埃尔南·迪亚斯,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2247
In the Miso Soup.md,In the Miso Soup,村上龙,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0504
India／ A Wounded Civilization.md,India: A Wounded Civilization,V.S.奈保尔,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1357
Indigo.md,Indigo,贝弗利·詹金斯,T6,1996,,,T6,PASS,HIGH,note.year=1996,自动通过,WL-WORK-1969
Indulekha.md,Indulekha,O·钱杜·梅农,T3,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T3-INDULEKHA
Inland.md,Inland,特娅·奥布雷赫特,T6,2019,,,T6,PASS,HIGH,note.year=2019,自动通过,WL-WORK-2248
invert 城塚翡翠倒叙集.md,invert 城塚翡翠倒叙集,相泽沙呼,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0209
It Had to Be You.md,It Had to Be You,诺拉·罗伯茨,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1970
Iwein.md,Iwein,哈特曼·冯·奥埃,T1,1200,,,T1,PASS,HIGH,note.year=1200,自动通过,WL-WORK-2250
J. Alfred Prufrock的情歌.md,J. Alfred Prufrock的情歌,T.S.艾略特,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1533
James.md,James,珀西瓦尔·埃弗里特,T6,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-3033
Jawbone.md,Jawbone,莫妮卡·奥赫达,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0505
Jennifer Government.md,Jennifer Government,马克斯·巴里,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0931
Jerilderie Letter.md,Jerilderie Letter,内德·凯利,T3,1879,,,T3,PASS,HIGH,note.year=1879,自动通过,WL-WORK-2251
Johnnie Armstrong.md,Johnnie Armstrong,沃尔特·司各特,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2252
Juan Cuello.md,Juan Cuello,爱德华多·古铁雷斯,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2254
Just Like Home.md,Just Like Home,萨拉·盖利,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0506
Kinmont Willie.md,Kinmont Willie,沃尔特·司各特,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2257
Kumulipo.md,Kumulipo,佚名,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1358
La liebre.md,La liebre,塞萨尔·艾拉,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2260
La noche de los dones.md,La noche de los dones,博尔赫斯,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2261
La poesía gauchesca.md,La poesía gauchesca,博尔赫斯,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2262
La vuelta de Martín Fierro.md,La vuelta de Martín Fierro,何塞·埃尔南德斯,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2263
"Lancelot, the Knight of the Cart.md","Lancelot, the Knight of the Cart",克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2266
