file,title,author,current_t,note_year,master_id,master_time,suggested_t,status,confidence,evidence,verification_status,id,manual_status,manual_suggested_t,manual_confidence,manual_note
今昔物语集.md,今昔物语集,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1398,MOVE,T1,HIGH,约12世纪日本说话集，属于中古文学世界
伊万.md,伊万,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1400,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
伊本·白图泰游记.md,伊本·白图泰游记,伊本·白图泰,T1,,,,,REVIEW,,缺少可靠年代证据,人工核验,WL-WORK-T1-RIHLA,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
佩尔西瓦尔.md,佩尔西瓦尔,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1407,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
兰斯洛特.md,兰斯洛特,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1412,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
兰斯洛特：大车骑士.md,兰斯洛特：大车骑士,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2022,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
列王纪.md,列王纪,菲尔多西,T1,,CANON-014,约1010,T1,PASS,HIGH,CANON-014 首次成书_出版时间=约1010,自动通过,WL-WORK-1416,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
前赤壁赋.md,前赤壁赋,苏轼,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1418,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
十日谈.md,十日谈,乔万尼·薄伽丘,T1,,CANON-025,约1353,T1,PASS,HIGH,CANON-025 首次成书_出版时间=约1353,需复核,WL-WORK-2813,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
卡卡温罗摩衍那.md,卡卡温罗摩衍那,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1420,MOVE,T1,HIGH,古爪哇《罗摩衍那》约9—10世纪成文
卡里来和笛木乃.md,卡里来和笛木乃,伊本·穆格法,T1,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-T1-KALILA,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
古今和歌集.md,古今和歌集,多人（纪贯之等编）,T1,,CANON-235,约905,T1,PASS,HIGH,CANON-235 首次成书_出版时间=约905,需复核,WL-WORK-3180,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
古兰经.md,古兰经,传统文本,T1,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-R1-QURAN,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
后赤壁赋.md,后赤壁赋,苏轼,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1426,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
和泉式部日记.md,和泉式部日记,紫式部,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2037,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
哈菲兹诗集.md,哈菲兹诗集,哈菲兹,T1,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-R1-HAFEZ-DIVAN,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
哈里里玛卡梅集.md,哈里里玛卡梅集,哈里里,T1,,CANON-246,约1100—1122,T1,PASS,HIGH,CANON-246 首次成书_出版时间=约1100—1122,需复核,WL-WORK-3188,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
国王叙事诗.md,国王叙事诗,丁尼生,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2484,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
坎特伯雷故事集.md,坎特伯雷故事集,杰弗里·乔叟,T1,,CANON-024,约1387—1400,T1,PASS,HIGH,CANON-024 首次成书_出版时间=约1387—1400,需复核,WL-WORK-2812,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
坎特伯雷故事集·骑士的故事.md,坎特伯雷故事集·骑士的故事,乔叟,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2486,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
太平广记.md,太平广记,李昉等编,T1,,,,,REVIEW,,缺少可靠年代证据,人工核验,WL-WORK-T1-TAIPING-GUANGJI,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
夺牛长征记.md,夺牛长征记,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1437,MOVE,T1,HIGH,现存爱尔兰文本传统形成于中古时期；古老口传根源不等于T0成文
女巫的预言.md,女巫的预言,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1441,MOVE,T1,HIGH,《诗体埃达》诗篇，主要按中古北欧文本传统处理
尤努斯·埃姆雷诗集.md,尤努斯·埃姆雷诗集,尤努斯·埃姆雷,T1,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-R1-YUNUS-EMRE,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
尼伯龙根之歌.md,尼伯龙根之歌,佚名,T1,,CANON-021,约1200,T1,PASS,HIGH,CANON-021 首次成书_出版时间=约1200,自动通过,WL-WORK-0673,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
尼雅尔萨迦.md,尼雅尔萨迦,佚名,T1,,CANON-022,约13世纪,T1,PASS,HIGH,CANON-022 首次成书_出版时间=约13世纪,自动通过,WL-WORK-1082,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
岭南摭怪.md,岭南摭怪,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1450,MOVE,T1,HIGH,越南中古传说集，主要编纂于14—15世纪
布兰航海记.md,布兰航海记,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1455,MOVE,T1,HIGH,中古爱尔兰叙事，通常定于7—8世纪
希尔德布兰特之歌.md,希尔德布兰特之歌,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2513,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
平家物语.md,平家物语,佚名,T1,,CANON-018,约13世纪,T1,PASS,HIGH,CANON-018 首次成书_出版时间=约13世纪,自动通过,WL-WORK-1091,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
库萨里.md,库萨里,犹大·哈列维,T1,,,,,REVIEW,,缺少可靠年代证据,人工核验,WL-WORK-T1-KUZARI,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
徒然草.md,徒然草,吉田兼好,T1,,CANON-236,约1330—1332,T1,PASS,HIGH,CANON-236 首次成书_出版时间=约1330—1332,需复核,WL-WORK-3181,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
德德·科尔库特之书.md,德德·科尔库特之书,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-R1-DEDE-KORKUT,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
悬诗.md,悬诗,多位诗人,T1,,CANON-245,约6世纪,T1,PASS,HIGH,CANON-245 首次成书_出版时间=约6世纪,需复核,WL-WORK-3187,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
扎哈克.md,扎哈克,菲尔多西,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1463,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
散文埃达.md,散文埃达,斯诺里·斯图鲁松,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1466,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
斯里拉玛传.md,斯里拉玛传,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1467,REVIEW,,MEDIUM,东南亚《罗摩衍那》改写需确认具体文本身份与成书年代；T0缺乏依据
新编五代史平话.md,新编五代史平话,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,人工核验,WL-WORK-T1-WUDAI-PINGHUA,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
本达希申.md,本达希申,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1472,MOVE,T1,HIGH,现存中古波斯语编纂本主要形成于伊斯兰时期早期约9世纪
李白诗选.md,李白诗选,李白,T1,,CANON-239,8世纪,T1,PASS,HIGH,CANON-239 首次成书_出版时间=8世纪,需复核,WL-WORK-3183,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
杜甫诗选.md,杜甫诗选,杜甫,T1,,CANON-240,8世纪,T1,PASS,HIGH,CANON-240 首次成书_出版时间=8世纪,需复核,WL-WORK-3184,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
松迪亚塔史诗.md,松迪亚塔史诗,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1473,MOVE,T1,MEDIUM,传统核心对应13世纪马里帝国形成期，应归中古而非古代
枕草子.md,枕草子,清少纳言,T1,,CANON-017,约1002,T1,PASS,HIGH,CANON-017 首次成书_出版时间=约1002,需复核,WL-WORK-2810,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
果园.md,果园,萨迪,T1,,CANON-214,1257,T1,PASS,HIGH,CANON-214 首次成书_出版时间=1257,需复核,WL-WORK-3166,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
格萨尔王传.md,格萨尔王传,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1474,MOVE,T1,MEDIUM,史诗传统主要在中古时期形成并持续口传，T0过早
沃尔松格萨迦.md,沃尔松格萨迦,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0752,MOVE,T1,HIGH,13世纪冰岛萨迦
洛基的争吵.md,洛基的争吵,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1482,MOVE,T1,HIGH,《诗体埃达》传统，按中古北欧文本体系处理
湿婆往世书.md,湿婆往世书,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1484,MOVE,T1,MEDIUM,现存文本层累较晚，主要属中古往世书传统
源氏物语.md,源氏物语,紫式部,T1,,CANON-016,约1008,T1,PASS,HIGH,CANON-016 首次成书_出版时间=约1008,自动通过,WL-WORK-1196,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
熙德之歌.md,熙德之歌,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1204,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
爱尔兰诸族入侵记.md,爱尔兰诸族入侵记,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1485,MOVE,T1,HIGH,约11世纪起形成的中古爱尔兰编纂传统
牧童歌.md,牧童歌,胜天,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2098,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
犹大·哈列维诗歌.md,犹大·哈列维诗歌,犹大·哈列维,T1,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-R1-JUDAH-HALEVI-POEMS,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
狄吉尼斯·阿克里塔斯.md,狄吉尼斯·阿克里塔斯,匿名,T1,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-T1-DIGENES,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
玛斯纳维.md,玛斯纳维,鲁米,T1,,CANON-213,约1258—1273,T1,PASS,HIGH,CANON-213 首次成书_出版时间=约1258—1273,需复核,WL-WORK-3165,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
瓦夫苏鲁特尼尔之歌.md,瓦夫苏鲁特尼尔之歌,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1487,MOVE,T1,HIGH,《诗体埃达》中古北欧诗歌传统
瓦尔塔里之歌.md,瓦尔塔里之歌,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2573,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
石钟山记.md,石钟山记,苏轼,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1489,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
神曲.md,神曲,但丁,T1,,CANON-023,约1308—1321,T1,PASS,HIGH,CANON-023 首次成书_出版时间=约1308—1321,需复核,WL-WORK-2811,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
索列姆之歌.md,索列姆之歌,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1491,MOVE,T1,HIGH,《诗体埃达》中古北欧诗歌传统
罗兰之歌.md,罗兰之歌,佚名,T1,,CANON-020,约1100,T1,PASS,HIGH,CANON-020 首次成书_出版时间=约1100,自动通过,WL-WORK-1262,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
脚镯记.md,脚镯记,伊兰戈·阿迪伽尔（传统归属）,T1,,CANON-226,约5—6世纪,T1,PASS,HIGH,CANON-226 首次成书_出版时间=约5—6世纪,需复核,WL-WORK-3175,BOUNDARY,T1,MEDIUM,通常约5—6世纪；正跨500操作边界，主归T1更稳妥但应保留边界说明
英格林萨迦.md,英格林萨迦,斯诺里·斯图鲁松,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1502,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
莱拉和马吉农.md,莱拉和马吉农,内扎米,T1,,CANON-062,1192,T1,PASS,HIGH,CANON-062 首次成书_出版时间=1192,自动通过,WL-WORK-2127,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
蔷薇园.md,蔷薇园,萨迪,T1,,CANON-244,1258,T1,PASS,HIGH,CANON-244 首次成书_出版时间=1258,需复核,WL-WORK-3186,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
薄伽梵往世书.md,薄伽梵往世书,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1505,MOVE,T1,HIGH,通常认为主要成形于约8—10世纪，属于中古南亚
西厢记.md,西厢记,王实甫,T1,,CANON-029,约13世纪,T1,PASS,HIGH,CANON-029 首次成书_出版时间=约13世纪,自动通过,WL-WORK-2132,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
诗体埃达.md,诗体埃达,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1508,MOVE,T1,HIGH,诗篇多属9—13世纪，手稿编纂于13世纪
贝奥武夫.md,贝奥武夫,佚名,T1,,CANON-019,约8—11世纪,T1,PASS,HIGH,CANON-019 首次成书_出版时间=约8—11世纪,自动通过,WL-WORK-0843,MOVE,T1,HIGH,古英语史诗成文/现存文本约8—11世纪
赫罗尔夫·克拉基萨迦.md,赫罗尔夫·克拉基萨迦,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1510,MOVE,T1,HIGH,中古冰岛传奇萨迦，现存文本约14—15世纪
风土记.md,风土记,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1518,MOVE,T1,HIGH,日本《风土记》编纂于8世纪
骑士西法尔.md,骑士西法尔,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2647,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
高卢的阿玛迪斯.md,高卢的阿玛迪斯,加尔西·罗德里格斯·德·蒙塔尔沃,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2648,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
高文爵士与绿骑士.md,高文爵士与绿骑士,佚名,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0878,MOVE,T1,HIGH,14世纪中古英语骑士诗
鲁拜集.md,鲁拜集,欧玛尔·海亚姆,T1,,CANON-061,11—12世纪,T1,PASS,HIGH,CANON-061 首次成书_出版时间=11—12世纪,需复核,WL-WORK-2821,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
鲁斯塔姆与苏赫拉布.md,鲁斯塔姆与苏赫拉布,菲尔多西,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1520,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
