file,title,author,current_t,note_year,master_id,master_time,suggested_t,status,confidence,evidence,verification_status,id,manual_status,manual_suggested_t,manual_confidence,manual_note
创世记.md,创世记,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1004,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
历史.md,历史,希罗多德,T0,,CANON-210,1974,T5,MOVE_CANDIDATE,HIGH,CANON-210 首次成书_出版时间=1974,自动通过,WL-WORK-1422,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
变形记.md,变形记,奥维德,T0,,CANON-009,约8,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-1423,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
史记.md,史记,司马迁,T0,,CANON-028,约前91,T0,PASS,HIGH,CANON-028 首次成书_出版时间=约前91,自动通过,WL-WORK-1017,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
史记·刺客列传.md,史记·刺客列传,司马迁,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2474,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
史记·游侠列传.md,史记·游侠列传,司马迁,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2475,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
吉尔伽美什史诗.md,吉尔伽美什史诗,佚名,T0,,CANON-001,约前2100—前1200,T0,PASS,HIGH,CANON-001 首次成书_出版时间=约前2100—前1200,自动通过,WL-WORK-1425,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
吕西斯特拉忒.md,吕西斯特拉忒,阿里斯托芬,T0,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T0-LYSISTRATA,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
埃努玛·埃利什.md,埃努玛·埃利什,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1432,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
埃及亡灵书.md,埃及亡灵书,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1433,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
埃拉史诗.md,埃拉史诗,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1434,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
埃涅阿斯纪.md,埃涅阿斯纪,维吉尔,T0,,CANON-008,前29—前19,T0,PASS,HIGH,CANON-008 首次成书_出版时间=前29—前19,自动通过,WL-WORK-0640,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
奥德赛.md,奥德赛,荷马,T0,,CANON-003,约前8世纪,T0,PASS,HIGH,CANON-003 首次成书_出版时间=约前8世纪,自动通过,WL-WORK-0653,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
女神颂.md,女神颂,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1442,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
女英雄书简.md,女英雄书简,奥维德,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1443,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
安提戈涅.md,安提戈涅,索福克勒斯,T0,,CANON-006,约前441,T0,PASS,HIGH,CANON-006 首次成书_出版时间=约前441,自动通过,WL-WORK-1445,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
山海经.md,山海经,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1448,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
岁时记.md,岁时记,奥维德,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1449,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
工作与时日.md,工作与时日,赫西俄德,T0,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-1451,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
巴力神话组诗.md,巴力神话组诗,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1452,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
希波吕托斯.md,希波吕托斯,欧里庇得斯,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1456,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
庄子.md,庄子,庄周及后学,T0,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T0-ZHUANGZI,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
恩基与宁玛赫.md,恩基与宁玛赫,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1459,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
恩基与宁胡尔萨格.md,恩基与宁胡尔萨格,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1460,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
摩诃婆罗多.md,摩诃婆罗多,毗耶娑,T0,,CANON-011,约前4世纪—4世纪,T0,PASS,HIGH,CANON-011 首次成书_出版时间=约前4世纪—4世纪,自动通过,WL-WORK-1130,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
本生经.md,本生经,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1471,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
梨俱吠陀.md,梨俱吠陀,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1475,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
棺椁铭文.md,棺椁铭文,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1476,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
楚辞.md,楚辞,屈原等,T0,,CANON-027,战国—汉初,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-2814,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
楚辞·九歌.md,楚辞·九歌,屈原,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1477,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
楚辞·天问.md,楚辞·天问,屈原,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1478,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
毗湿奴往世书.md,毗湿奴往世书,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1479,REVIEW,,MEDIUM,形成与重编年代跨晚期古代—中古，需明确本库采用的版本/定型口径
沙恭达罗.md,沙恭达罗,迦梨陀娑,T0,,CANON-013,约4—5世纪,T0,PASS,HIGH,CANON-013 首次成书_出版时间=约4—5世纪,手工核验,WL-WORK-2088,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
爱的艺术.md,爱的艺术,奥维德,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2095,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
爱经.md,爱经,奥维德,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2096,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
理想国.md,理想国,柏拉图,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1213,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
神谱.md,神谱,赫西俄德,T0,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-1490,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
约伯记.md,约伯记,佚名,T0,,CANON-010,约前7—前4世纪,T0,PASS,HIGH,CANON-010 首次成书_出版时间=约前7—前4世纪,自动通过,WL-WORK-1492,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
罗摩衍那.md,罗摩衍那,蚁垤,T0,,CANON-012,约前5世纪—3世纪,T0,PASS,HIGH,CANON-012 首次成书_出版时间=约前5世纪—3世纪,自动通过,WL-WORK-1493,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
美狄亚.md,美狄亚,欧里庇得斯,T0,,CANON-007,前431,T0,PASS,HIGH,CANON-007 首次成书_出版时间=前431,自动通过,WL-WORK-1496,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
老人与古人的谈话.md,老人与古人的谈话,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1497,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
船难水手的故事.md,船难水手的故事,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1499,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
荷马颂歌.md,荷马颂歌,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1503,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
荷鲁斯与塞特之争.md,荷鲁斯与塞特之争,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1504,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
萨蒂利孔.md,萨蒂利孔,佩特罗尼乌斯,T0,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T0-SATYRICON,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
薄伽梵歌.md,薄伽梵歌,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1506,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
论语.md,论语,孔子弟子及再传弟子编纂,T0,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T0-ANALECTS,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
诗经.md,诗经,佚名,T0,,CANON-026,约前11—前7世纪,T0,PASS,HIGH,CANON-026 首次成书_出版时间=约前11—前7世纪,自动通过,WL-WORK-2133,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
贺拉斯颂歌.md,贺拉斯颂歌,贺拉斯,T0,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T0-HORACE-ODES,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
辛努赫传.md,辛努赫传,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T0-SINUHE,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
酒神的伴侣.md,酒神的伴侣,欧里庇得斯,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1511,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
酒神的女信徒.md,酒神的女信徒,欧里庇得斯,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1512,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
金字塔铭文.md,金字塔铭文,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1513,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
阿伽门农.md,阿伽门农,埃斯库罗斯,T0,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T0-AGAMEMNON,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
阿卡特史诗.md,阿卡特史诗,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1514,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
阿特拉哈西斯史诗.md,阿特拉哈西斯史诗,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1516,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
阿维斯塔.md,阿维斯塔,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1517,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
陶渊明诗选.md,陶渊明诗选,陶渊明,T0,,CANON-241,4—5世纪,T0,PASS,HIGH,CANON-241 首次成书_出版时间=4—5世纪,需复核,WL-WORK-3185,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
高人的箴言.md,高人的箴言,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1519,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
