file,id,title,author,year,axis_t,r2_priority,r2_tradition,r2_role
关于女儿.md,WL-WORK-2690,关于女儿,金惠珍,,T6 当代全球文学,,,
关原.md,WL-WORK-2455,关原,司马辽太郎,,T5 二战后多极文学,,,
兵法家传书.md,WL-WORK-2456,兵法家传书,柳生宗矩,,,,,
再见，冥王星.md,WL-WORK-2760,再见，冥王星,夏茗悠,,T6 当代全球文学,,,
冬天里的春天.md,WL-WORK-2859,冬天里的春天,李国文,read_status: 未读,T6 当代全球文学,,,
冰是睡着的水.md,WL-WORK-2770,冰是睡着的水,刘猛,,T6 当代全球文学,,,
冰菓.md,WL-WORK-0199,冰菓,米泽穗信,,T6 当代全球文学,,,
决战前后.md,WL-WORK-2457,决战前后,陆小凤,,,,,
冷山.md,WL-WORK-0999,冷山,查尔斯·弗雷泽,,,,,
凉生我们可不可以不忧伤.md,WL-WORK-2748,凉生我们可不可以不忧伤,乐小米,,T6 当代全球文学,,,
凡人修仙传.md,WL-WORK-0597,凡人修仙传,忘语,,T6 当代全球文学,,,
凶人邸谜案.md,WL-WORK-0207,凶人邸谜案,今村昌弘,,T6 当代全球文学,,,
创业史.md,WL-WORK-1599,创业史,柳青,,T5 二战后多极文学,,,
刺青杀人事件.md,WL-WORK-0157,刺青杀人事件,高木彬光,,T5 二战后多极文学,,,
前赤壁赋.md,WL-WORK-1418,前赤壁赋,苏轼,,T1 中古多中心文学世界,,,
剑客商卖.md,WL-WORK-2459,剑客商卖,池波正太郎,,T5 二战后多极文学,,,
剑气珠光.md,WL-WORK-2460,剑气珠光,还珠楼主,,T4 全球现代主义时代,,,
剑海鹰扬.md,WL-WORK-2461,剑海鹰扬,司马翎,,T5 二战后多极文学,,,
功名十字路.md,WL-WORK-2462,功名十字路,司马辽太郎,,T5 二战后多极文学,,,
北上.md,WL-WORK-1007,北上,徐则臣,2018,T6 当代全球文学,,,
北京折叠.md,WL-WORK-0466,北京折叠,郝景芳,2012,T6 当代全球文学,,,
医院.md,WL-WORK-0459,医院,韩松,,,,,
十二国记：月之影 影之海.md,WL-WORK-0608,十二国记：月之影 影之海,小野不由美,,T6 当代全球文学,,,
十二金钱镖.md,WL-WORK-2464,十二金钱镖,白羽,,,,,
十八岁出门远行.md,WL-WORK-2783,十八岁出门远行,余华,1987,T6 当代全球文学,,,
十角馆事件.md,WL-WORK-0179,十角馆事件,绫辻行人,,T6 当代全球文学,,,
千里江山图.md,WL-WORK-2894,千里江山图,孙甘露,read_status: 未读,T6 当代全球文学,,,
午夜凶铃.md,WL-WORK-0612,午夜凶铃,铃木光司,,T6 当代全球文学,,,
半七捕物帐.md,WL-WORK-2466,半七捕物帐,冈本绮堂,,,,,
半生缘.md,WL-WORK-2029,半生缘,张爱玲,,T5 二战后多极文学,,,
半落.md,WL-WORK-0175,半落,横山秀夫,,T6 当代全球文学,,,
华冈青洲之妻.md,WL-WORK-1010,华冈青洲之妻,有吉佐和子,,T5 二战后多极文学,,,
华胥引.md,WL-WORK-2747,华胥引,唐七公子,,T6 当代全球文学,,,
南总里见八犬传.md,WL-WORK-2467,南总里见八犬传,曲亭马琴,,,,,
占星术杀人魔法.md,WL-WORK-0176,占星术杀人魔法,岛田庄司,,T6 当代全球文学,,,
卧虎藏龙.md,WL-WORK-2472,卧虎藏龙,王度庐,,,,,
历史的天空.md,WL-WORK-2872,历史的天空,徐贵祥,read_status: 未读,T6 当代全球文学,,,
厨房.md,WL-WORK-2032,厨房,吉本芭娜娜,,T6 当代全球文学,,,
双头恶魔.md,WL-WORK-0185,双头恶魔,有栖川有栖,,T6 当代全球文学,,,
古今和歌集.md,WL-WORK-3180,古今和歌集,多人（纪贯之等编）,read_status: 未读,T1 中古多中心文学世界,,,
古典爱情.md,WL-WORK-2788,古典爱情,余华,1988,T6 当代全球文学,,,
台北人.md,WL-WORK-1615,台北人,白先勇,,T5 二战后多极文学,,,
史记.md,WL-WORK-1017,史记,司马迁,,T0 文学源头与古代文学,,,
史记·刺客列传.md,WL-WORK-2474,史记·刺客列传,司马迁,,T0 文学源头与古代文学,,,
史记·游侠列传.md,WL-WORK-2475,史记·游侠列传,司马迁,,T0 文学源头与古代文学,,,
叶隐.md,WL-WORK-2476,叶隐,山本常朝,,,,,
叶隐入门.md,WL-WORK-2477,叶隐入门,三岛由纪夫,,T5 二战后多极文学,,,
后水浒传.md,WL-WORK-2478,后水浒传,陈忱,,T2 早期现代文学,,,
后赤壁赋.md,WL-WORK-1426,后赤壁赋,苏轼,,T1 中古多中心文学世界,,,
呐喊.md,WL-WORK-1619,呐喊,鲁迅,,T4 全球现代主义时代,,,
和泉式部日记.md,WL-WORK-2037,和泉式部日记,紫式部,,T1 中古多中心文学世界,,,
和谐.md,WL-WORK-0448,和谐,伊藤计划,,,,,
哑舍.md,WL-WORK-2746,哑舍,玄色,,T6 当代全球文学,,,
喝眼泪的鸟.md,WL-WORK-0632,喝眼泪的鸟,李英道,,T6 当代全球文学,,,
四世同堂.md,WL-WORK-1027,四世同堂,老舍,1948,T5 二战后多极文学,,,
四月三日事件.md,WL-WORK-2785,四月三日事件,余华,1987,T6 当代全球文学,,,
回响.md,WL-WORK-2895,回响,东西,read_status: 未读,T6 当代全球文学,,,
围城.md,WL-WORK-2039,围城,钱钟书,,T5 二战后多极文学,,,
国盗物语.md,WL-WORK-1029,国盗物语,司马辽太郎,,T5 二战后多极文学,,,
土地.md,WL-WORK-1031,土地,朴景利,,T5 二战后多极文学,,,
圣女的救济.md,WL-WORK-0213,圣女的救济,东野圭吾,,T6 当代全球文学,,,
在细雨中呼喊.md,WL-WORK-2740,在细雨中呼喊,余华,1991,T6 当代全球文学,,,
地铁.md,WL-WORK-0458,地铁,韩松,,,,,
坂上之云.md,WL-WORK-1036,坂上之云,司马辽太郎,,T5 二战后多极文学,,,
坏小孩.md,WL-WORK-0244,坏小孩,紫金陈,,T6 当代全球文学,,,
城塞.md,WL-WORK-2487,城塞,司马辽太郎,,T5 二战后多极文学,,,
基因设计师.md,WL-WORK-0450,基因设计师,藤井太洋,,,,,
堺事件.md,WL-WORK-2488,堺事件,森鸥外,,T4 全球现代主义时代,,,
墓地的沉默.md,WL-WORK-0223,墓地的沉默,阿尔纳尔杜尔·因德里达松,,,,,
壬生义士传.md,WL-WORK-2489,壬生义士传,浅田次郎,,,,,
复仇.md,WL-WORK-0643,复仇,小川洋子,,T6 当代全球文学,,,
夏之花.md,WL-WORK-1641,夏之花,原民喜,,T5 二战后多极文学,,,
夏日花.md,WL-WORK-2045,夏日花,原民喜,,T5 二战后多极文学,,,
夏有乔木雅望天堂.md,WL-WORK-2759,夏有乔木雅望天堂,籽月,,T6 当代全球文学,,,
夏至未至.md,WL-WORK-2757,夏至未至,郭敬明,,T6 当代全球文学,,,
多情剑客无情剑.md,WL-WORK-2490,多情剑客无情剑,古龙,,T5 二战后多极文学,,,
夜晚的潜水艇.md,WL-WORK-2734,夜晚的潜水艇,陈春成,,T6 当代全球文学,,,
大唐双龙传.md,WL-WORK-2491,大唐双龙传,黄易,,T6 当代全球文学,,,
大唐游侠传.md,WL-WORK-2492,大唐游侠传,梁羽生,,T5 二战后多极文学,,,
大沙漠.md,WL-WORK-2495,大沙漠,古龙,,T5 二战后多极文学,,,
大菩萨岭.md,WL-WORK-2496,大菩萨岭,中里介山,,,,,
天行者.md,WL-WORK-2879,天行者,刘醒龙,read_status: 未读,T6 当代全球文学,,,
天龙八部.md,WL-WORK-2498,天龙八部,侠义伦理,,T5 二战后多极文学,,,
太平广记.md,WL-WORK-T1-TAIPING-GUANGJI,太平广记,李昉等编,,T1 中古多中心文学世界,,,
太平记.md,WL-WORK-1053,太平记,佚名,,,,,
太白金星有点烦.md,WL-WORK-2766,太白金星有点烦,马伯庸,,T6 当代全球文学,,,
太阁记.md,WL-WORK-2499,太阁记,吉川英治,,T4 全球现代主义时代,,,
失乐园.md,WL-WORK-2049,失乐园,渡边淳一,,T6 当代全球文学,,,
奇侠精忠传.md,WL-WORK-2500,奇侠精忠传,赵焕亭,,,,,
奔马.md,WL-WORK-2501,奔马,三岛由纪夫,,T5 二战后多极文学,,,
奥之细道.md,WL-WORK-1440,奥之细道,松尾芭蕉,1702,T2 早期现代文学,,,
女王蜂.md,WL-WORK-0156,女王蜂,横沟正史,,T5 二战后多极文学,,,
女面.md,WL-WORK-1660,女面,円地文子,,T5 二战后多极文学,,,
她乡——中国女性科幻作品选.md,WL-WORK-0468,她乡——中国女性科幻作品选,新生代,,,,,
她对此感到厌烦.md,WL-WORK-2751,她对此感到厌烦,妚鹤,,T6 当代全球文学,,,
好色一代男.md,WL-WORK-T2-KOSHOKU-ICHIDAI-OTOKO,好色一代男,井原西鹤,1682,T2 早期现代文学,,,
如果我们无法以光速前行.md,WL-WORK-0479,如果我们无法以光速前行,金草叶,,,,,
姑获鸟之夏.md,WL-WORK-0190,姑获鸟之夏,京极夏彦,,T6 当代全球文学,,,
嫌疑人X的献身.md,WL-WORK-0211,嫌疑人X的献身,东野圭吾,,T6 当代全球文学,,,
子夜.md,WL-WORK-2817,子夜,茅盾,read_status: 未读,T4 全球现代主义时代,,,
孤岛之谜.md,WL-WORK-0184,孤岛之谜,有栖川有栖,,T6 当代全球文学,,,
孤岛之鬼.md,WL-WORK-0150,孤岛之鬼,江户川乱步,,T4 全球现代主义时代,,,
孽子.md,WL-WORK-2706,孽子,白先勇,,T6 当代全球文学,,,
安静的场所.md,WL-WORK-0165,安静的场所,松本清张,,T5 二战后多极文学,,,
宝剑金钗.md,WL-WORK-2504,宝剑金钗,还珠楼主,,T4 全球现代主义时代,,,
宝水.md,WL-WORK-2892,宝水,乔叶,read_status: 未读,T6 当代全球文学,,,
宫本武藏.md,WL-WORK-1068,宫本武藏,吉川英治,,T4 全球现代主义时代,,,
家.md,WL-WORK-1070,家,巴金,,T4 全球现代主义时代,,,
密使.md,WL-WORK-2053,密使,小川洋子,,T6 当代全球文学,,,
密室里的记忆.md,WL-WORK-1073,密室里的记忆,小川洋子,,T6 当代全球文学,,,
寻秦记.md,WL-WORK-2505,寻秦记,黄易,,T6 当代全球文学,,,
射雕英雄传.md,WL-WORK-2506,射雕英雄传,金庸,,T5 二战后多极文学,,,
将军吟.md,WL-WORK-2857,将军吟,莫应丰,read_status: 未读,T6 当代全球文学,,,
将军底头.md,WL-WORK-1676,将军底头,施蛰存,,T4 全球现代主义时代,,,
将军族.md,WL-WORK-1677,将军族,陈映真,,T5 二战后多极文学,,,
小五义.md,WL-WORK-2507,小五义,石玉昆,,T3 19世纪现代文学体系,,,
小时代.md,WL-WORK-2752,小时代,郭敬明,,T6 当代全球文学,,,
少年天子.md,WL-WORK-1078,少年天子,凌力,,T6 当代全球文学,,,
尘埃落定.md,WL-WORK-1081,尘埃落定,阿来,,T6 当代全球文学,,,
尸人庄谜案.md,WL-WORK-0205,尸人庄谜案,今村昌弘,,T6 当代全球文学,,,
尸体之城.md,WL-WORK-2056,尸体之城,大田洋子,,T5 二战后多极文学,,,
尸体之街.md,WL-WORK-1679,尸体之街,大田洋子,,T5 二战后多极文学,,,
尸者的帝国.md,WL-WORK-0449,尸者的帝国,伊藤计划 / 圆城塔,,,,,
尸鬼.md,WL-WORK-0672,尸鬼,小野不由美,,T6 当代全球文学,,,
山海经.md,WL-WORK-1448,山海经,佚名,,T0 文学源头与古代文学,,,
山音.md,WL-WORK-3158,山音,川端康成,read_status: 未读,T5 二战后多极文学,,,
岭南摭怪.md,WL-WORK-1450,岭南摭怪,佚名,,T1 中古多中心文学世界,,,
巴里公主.md,WL-WORK-1454,巴里公主,佚名,1937,T4 全球现代主义时代,,,
布衣神相.md,WL-WORK-2510,布衣神相,小椴,,T6 当代全球文学,,,
师父.md,WL-WORK-2512,师父,徐皓峰,,,,,
平凡的世界.md,WL-WORK-2711,平凡的世界,路遥,,T6 当代全球文学,,,
平家物语.md,WL-WORK-1091,平家物语,佚名,,T1 中古多中心文学世界,,,
平治物语.md,WL-WORK-1092,平治物语,佚名,,,,,
幻城.md,WL-WORK-2753,幻城,郭敬明,,T6 当代全球文学,,,
广场.md,WL-WORK-1689,广场,崔仁勋,,T5 二战后多极文学,,,
广岛札记.md,WL-WORK-2063,广岛札记,大江健三郎,,T5 二战后多极文学,,,
庄子.md,WL-WORK-T0-ZHUANGZI,庄子,庄周及后学,,T0 文学源头与古代文学,,,
应物兄.md,WL-WORK-2890,应物兄,李洱,read_status: 未读,T6 当代全球文学,,,
座头市物语.md,WL-WORK-2516,座头市物语,子母泽宽,,,,,
庭院深深.md,WL-WORK-2064,庭院深深,琼瑶,,T5 二战后多极文学,,,
康熙大帝.md,WL-WORK-1097,康熙大帝,二月河,,T6 当代全球文学,,,
异常.md,WL-WORK-0173,异常,桐野夏生,,T6 当代全球文学,,,
异邦骑士.md,WL-WORK-0178,异邦骑士,岛田庄司,,T6 当代全球文学,,,
张居正.md,WL-WORK-2870,张居正,熊召政,read_status: 未读,T6 当代全球文学,,,
当且仅当雪是白的.md,WL-WORK-0250,当且仅当雪是白的,陆秋槎,,T6 当代全球文学,,,
彭公案.md,WL-WORK-2521,彭公案,贪梦道人,,,,,
彷徨.md,WL-WORK-1695,彷徨,鲁迅,,T4 全球现代主义时代,,,
往事与刑罚.md,WL-WORK-2792,往事与刑罚,余华,1989,T6 当代全球文学,,,
徒然草.md,WL-WORK-3181,徒然草,吉田兼好,read_status: 未读,T1 中古多中心文学世界,,,
微微一笑很倾城.md,WL-WORK-2067,微微一笑很倾城,顾漫,,T6 当代全球文学,,,
心.md,WL-WORK-1105,心,夏目漱石,,T4 全球现代主义时代,,,
心理测验.md,WL-WORK-0148,心理测验,江户川乱步,,T4 全球现代主义时代,,,
心理罪：教化场.md,WL-WORK-0248,心理罪：教化场,雷米,,T6 当代全球文学,,,
心理罪：画像.md,WL-WORK-0247,心理罪：画像,雷米,,T6 当代全球文学,,,
忠臣藏.md,WL-WORK-2522,忠臣藏,竹田出云 / 三好松洛 / 并木千柳,,,,,
忧国.md,WL-WORK-2523,忧国,三岛由纪夫,,T5 二战后多极文学,,,
恶意.md,WL-WORK-0210,恶意,东野圭吾,,T6 当代全球文学,,,
恶魔吹着笛子来.md,WL-WORK-0155,恶魔吹着笛子来,横沟正史,,T5 二战后多极文学,,,
悲伤逆流成河.md,WL-WORK-2755,悲伤逆流成河,郭敬明,,T6 当代全球文学,,,
情书.md,WL-WORK-2713,情书,岩井俊二,,T6 当代全球文学,,,
愚者的片尾.md,WL-WORK-0200,愚者的片尾,米泽穗信,,T6 当代全球文学,,,
我与地坛.md,WL-WORK-2727,我与地坛,史铁生,,T6 当代全球文学,,,
我们仨.md,WL-WORK-2726,我们仨,杨绛,,T6 当代全球文学,,,
我是猫.md,WL-WORK-3182,我是猫,夏目漱石,read_status: 未读,T4 全球现代主义时代,,,
我没有自己的名字.md,WL-WORK-2805,我没有自己的名字,余华,1995,T6 当代全球文学,,,
我的帝王生涯.md,WL-WORK-1115,我的帝王生涯,苏童,,T6 当代全球文学,,,
我胆小如鼠.md,WL-WORK-2725,我胆小如鼠,余华,1996,T6 当代全球文学,,,
战争和人.md,WL-WORK-2865,战争和人,王火,read_status: 未读,T6 当代全球文学,,,
战国无赖.md,WL-WORK-2527,战国无赖,孙晓,,,,,
战斗妖精雪风.md,WL-WORK-0446,战斗妖精雪风,神林长平,,,,,
战舰武藏.md,WL-WORK-1119,战舰武藏,吉村昭,,T5 二战后多极文学,,,
房思琪的初恋乐园.md,WL-WORK-2685,房思琪的初恋乐园,林奕含,,T6 当代全球文学,,,
所罗门的伪证.md,WL-WORK-0171,所罗门的伪证,宫部美雪,,T6 当代全球文学,,,
手机.md,WL-WORK-2719,手机,刘震云,,T6 当代全球文学,,,
扶桑.md,WL-WORK-2687,扶桑,严歌苓,,T6 当代全球文学,,,
抉择.md,WL-WORK-2867,抉择,张平,read_status: 未读,T6 当代全球文学,,,
挪威的森林.md,WL-WORK-1128,挪威的森林,村上春树,,T6 当代全球文学,,,
推拿.md,WL-WORK-2881,推拿,毕飞宇,read_status: 未读,T6 当代全球文学,,,
故事新编·铸剑.md,WL-WORK-2531,故事新编·铸剑,鲁迅,,T4 全球现代主义时代,,,
敦煌.md,WL-WORK-1131,敦煌,井上靖,,T5 二战后多极文学,,,
文城.md,WL-WORK-2723,文城,余华,2021,T6 当代全球文学,,,
斗罗大陆.md,WL-WORK-2742,斗罗大陆,唐家三少,,T6 当代全球文学,,,
斜屋犯罪.md,WL-WORK-0177,斜屋犯罪,岛田庄司,,T6 当代全球文学,,,
斜阳.md,WL-WORK-1721,斜阳,太宰治,,T5 二战后多极文学,,,
新·平家物语.md,WL-WORK-2534,新·平家物语,吉川英治,,T5 二战后多极文学,,,
新书太阁记.md,WL-WORK-1133,新书太阁记,吉川英治,,T4 全球现代主义时代,,,
新参者.md,WL-WORK-0214,新参者,东野圭吾,,T6 当代全球文学,,,
新编五代史平话.md,WL-WORK-T1-WUDAI-PINGHUA,新编五代史平话,佚名,,T1 中古多中心文学世界,,,
新选组血风录.md,WL-WORK-2535,新选组血风录,司马辽太郎,,T5 二战后多极文学,,,
施公案.md,WL-WORK-2536,施公案,佚名,,,,,
施疗室里.md,WL-WORK-1724,施疗室里,川端康成,,T4 全球现代主义时代,,,
无境之兽.md,WL-WORK-2080,无境之兽,乌佐丁马·伊韦阿拉,,,,,
无字.md,WL-WORK-2871,无字,张洁,read_status: 未读,T6 当代全球文学,,,
无证之罪.md,WL-WORK-0243,无证之罪,紫金陈,,T6 当代全球文学,,,
日本沉没.md,WL-WORK-0442,日本沉没,小松左京,,,,,
时间.md,WL-WORK-2718,时间,堀田善卫,,T5 二战后多极文学,,,
昆仑.md,WL-WORK-2537,昆仑,凤歌,,T6 当代全球文学,,,
昆仑奴.md,WL-WORK-2538,昆仑奴,裴铏,,,,,
明亮的夜晚.md,WL-WORK-2702,明亮的夜晚,崔恩荣,,T6 当代全球文学,,,
春.md,WL-WORK-1139,春,巴金,,T4 全球现代主义时代,,,
春桃.md,WL-WORK-2681,春桃,许地山,,T4 全球现代主义时代,,,
春雪.md,WL-WORK-1733,春雪,三岛由纪夫,,T5 二战后多极文学,,,
春香传.md,WL-WORK-2819,春香传,佚名,read_status: 未读,T2 早期现代文学,,,
暗算.md,WL-WORK-2671,暗算,麦家,,T6 当代全球文学,,,
暮鼓晨钟——少年康熙.md,WL-WORK-1141,暮鼓晨钟——少年康熙,凌力,,T6 当代全球文学,,,
曾我物语.md,WL-WORK-2541,曾我物语,第二次,,,,,
曾根崎心中.md,WL-WORK-T2-SONEZAKI,曾根崎心中,近松门左卫门,1703,T2 早期现代文学,,,
最后一颗子弹留给我.md,WL-WORK-2769,最后一颗子弹留给我,刘猛,,T6 当代全球文学,,,
月亮与篝火.md,WL-WORK-1738,月亮与篝火,切萨雷·帕韦泽,,T5 二战后多极文学,,,
月光游戏.md,WL-WORK-0183,月光游戏,有栖川有栖,,T6 当代全球文学,,,
有匪.md,WL-WORK-2543,有匪,Priest,,T6 当代全球文学,,,
有翼之暗.md,WL-WORK-0194,有翼之暗,麻耶雄嵩,,T6 当代全球文学,,,
朝花夕拾.md,WL-WORK-2679,朝花夕拾,鲁迅,,T4 全球现代主义时代,,,
