tier,file,id,title,title_original,author,author_original,canon_id,awards,source_ref_keys,topics,deep_status,deep_earliest_year,deep_earliest_t,deep_first_publish_year,deep_first_publish_t,deep_title,deep_authors,deep_key,deep_year_count,deep_year_min,deep_year_max,deep_match_score,resolution_status,chosen_t,canonical_year_candidate,resolution_reason,author_only_reason,residual_bucket,gb_status,gb_error
P2_EXTERNAL_MATCH_FRIENDLY,Desert Solitaire.md,WL-WORK-2199,Desert Solitaire,,爱德华·艾比,Edward Abbey,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1968,T5,1968,T5,Desert solitaire,Edward Abbey,/works/OL2929632W,14,1968,1998,2.000,SAFE_T,T5,1968,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1942-1989:T4-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Devil in Winter.md,WL-WORK-1955,Devil in Winter,,丽莎·克莱帕斯,Lisa Kleypas,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2006,T6,2006,T6,Devil in Winter,Lisa Kleypas,/works/OL4331781W,2,2006,2023,2.000,SAFE_T,T6,2006,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1979-2026:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Dispatches.md,WL-WORK-1956,Dispatches,,迈克尔·赫尔,Michael Herr,,,batch5_source_refs,WL-TOPIC-Q6-WAR,STABLE_T,1977,T5,1977,T5,Dispatches,Michael Herr,/works/OL4482600W,16,1977,2016,2.000,SAFE_T,T5,1977,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1955-2016:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Dreaming in Cuban.md,WL-WORK-0923,Dreaming in Cuban,,克里斯蒂娜·加西亚,Cristina García,,,batch2_source_refs,WL-TOPIC-G43-FAMILY,STABLE_T,1992,T6,1992,T6,Dreaming in Cuban,Cristina García,/works/OL938779W,5,1992,2004,2.000,SAFE_T,T6,1992,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1973-2026:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Facial Justice.md,WL-WORK-0924,Facial Justice,,L.P.哈特利,L.P. Hartley,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA,STABLE_T,1960,T5,1960,T5,Facial Justice,L. P. Hartley,/works/OL11882354W,2,1960,2014,2.000,SAFE_T,T5,1960,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1910-1972:T4-T5,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Forbidden.md,WL-WORK-1958,Forbidden,,贝弗利·詹金斯,Beverly Jenkins,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2016,T6,2016,T6,Forbidden,Beverly Jenkins,/works/OL20018773W,1,2016,2016,2.000,SAFE_T,T6,2016,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1966-2026:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,From a Crooked Rib.md,WL-WORK-0927,From a Crooked Rib,,努鲁丁·法拉赫,Nuruddin Farah,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN,STABLE_T,1970,T5,1970,T5,From a crooked rib,Nuruddin Farah,/works/OL18692W,3,1970,2009,2.000,SAFE_T,T5,1970,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1960-2026:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Butcher's Crossing.md,WL-WORK-2179,Butcher's Crossing,,约翰·威廉斯,John Williams,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1960,T5,1960,T5,Butcher's Crossing,John Williams,/works/OL3511457W,8,1960,2016,2.000,SAFE_T,T5,1960,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1969-2026:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Games of Command.md,WL-WORK-1960,Games of Command,,林妮娅·辛克莱,Linnea Sinclair,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2007,T6,2007,T6,Games of Command,Linnea Sinclair,/works/OL5887176W,1,2007,2007,2.000,SAFE_T,T6,2007,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1969-2026:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Gestaltes en diere.md,WL-WORK-1530,Gestaltes en diere,,N.P.范维克·劳,N. P. van Wyk Louw,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM,STABLE_T,1958,T5,1958,T5,Gestaltes en diere,N. P. van Wyk Louw,/works/OL44868203W,1,1958,1958,2.000,SAFE_T,T5,1958,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1921-1970:T4-T5,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Greguerías.md,WL-WORK-1531,Greguerías,,拉蒙·戈麦斯·德拉塞尔纳,Ramón Gómez de la Serna,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM,STABLE_T,1918,T4,1918,T4,Greguerías,Ramón Gómez de la Serna,/works/OL38852270W,1,1918,1918,2.000,SAFE_T,T4,1918,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1903-1963:T4-T5,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Harmonium.md,WL-WORK-1532,Harmonium,,华莱士·史蒂文斯,Wallace Stevens,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM,STABLE_T,1923,T4,1923,T4,Harmonium,Wallace Stevens,/works/OL464013W,7,1923,1999,2.000,SAFE_T,T4,1923,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1894-1955:T4-T5,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,In Flanders Fields.md,WL-WORK-1967,In Flanders Fields,,约翰·麦克雷,John McCrae,,,batch5_source_refs,WL-TOPIC-Q6-WAR,STABLE_T,1917,T4,1917,T4,In Flanders' fields,John McCrae,/works/OL39432032W,2,1917,1918,2.000,SAFE_T,T4,1917,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1887-1918:T3-T4,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Indigo.md,WL-WORK-1969,Indigo,,贝弗利·詹金斯,Beverly Jenkins,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,1996,T6,1996,T6,Indigo,Beverly Jenkins,/works/OL553688W,3,1996,2014,2.000,SAFE_T,T6,1996,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1966-2026:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Iwein.md,WL-WORK-2250,Iwein,,哈特曼·冯·奥埃,Hartmann,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT,STABLE_T,1877,T3,1877,T3,Iwein,Hartmann,/works/OL8102770W,9,1877,2021,2.000,SAFE_T,T3,1877,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1846-1893:T3-T4,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Kaputt.md,WL-WORK-1971,Kaputt,,库尔齐奥·马拉帕尔特,Curzio Malaparte,,,batch5_source_refs,WL-TOPIC-Q6-WAR,STABLE_T,1944,T4,1944,T4,Kaputt,Curzio Malaparte,/works/OL38800070W,2,1944,1948,2.000,SAFE_T,T4,1944,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1913-1957:T4-T5,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Kushiel's Dart.md,WL-WORK-1972,Kushiel's Dart,,杰奎琳·凯里,Jacqueline Carey,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2001,T6,2001,T6,Kushiel's dart,Jacqueline Carey,/works/OL2719901W,8,2001,2023,2.000,SAFE_T,T6,2001,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1979-2026:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,L'Allegria.md,WL-WORK-1534,L'Allegria,,朱塞佩·翁加雷蒂,Giuseppe Ungaretti,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM,STABLE_T,1931,T4,1931,T4,L'allegria ...,Giuseppe Ungaretti,/works/OL43159271W,1,1931,1931,2.000,SAFE_T,T4,1931,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1903-1970:T4-T5,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Long John Silver.md,WL-WORK-2275,Long John Silver,,比约恩·拉尔森,Björn Larsson,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-PIRATE,STABLE_T,1995,T6,1995,T6,Long John Silver,Björn Larsson,/works/OL1685323W,4,1995,2000,2.000,SAFE_T,T6,1995,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1968-2026:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Limbo.md,WL-WORK-0934,Limbo,,伯纳德·沃尔夫,Bernard Wolfe,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA,STABLE_T,1952,T5,1952,T5,Limbo,Bernard Wolfe,/works/OL7015488W,8,1952,2017,2.000,SAFE_T,T5,1952,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1930-1985:T4-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Hood.md,WL-WORK-2240,Hood,,斯蒂芬·R.劳黑德,Stephen R. Lawhead,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,STABLE_T,2008,T6,2008,T6,Hood,Stephen R. Lawhead,/works/OL44031730W,1,2008,2008,2.000,SAFE_T,T6,2008,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1965-2026:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Los caranchos de La Florida.md,WL-WORK-2277,Los caranchos de La Florida,,贝尼托·林奇,Benito Lynch,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,STABLE_T,1916,T4,1916,T4,Los caranchos de la Florida,Benito Lynch,/works/OL91081W,7,1916,1994,2.000,SAFE_T,T4,1916,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1895-1951:T4-T5,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Lost in the Barrens.md,WL-WORK-0508,Lost in the Barrens,,法利·莫厄特,Farley Mowat,,,batch1_source_refs,WL-TOPIC-G45-ADVENTURE,STABLE_T,1962,T5,1962,T5,Lost in the Barrens,Farley Mowat,/works/OL43085571W,1,1962,1962,2.000,SAFE_T,T5,1962,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1936-2014:T4-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Love Only Once.md,WL-WORK-1973,Love Only Once,,约翰娜·林赛,Johanna Lindsey,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,1985,T6,1985,T6,Love Only Once,Johanna Lindsey,/works/OL15684W,8,1985,2010,2.000,SAFE_T,T6,1985,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1967-2019:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,My Side of the Mountain.md,WL-WORK-0513,My Side of the Mountain,,琼·克雷格黑德·乔治,Jean Craighead George,,,batch1_source_refs,WL-TOPIC-G45-ADVENTURE,STABLE_T,1959,T5,1959,T5,My side of the mountain,Jean Craighead George,/works/OL111900W,21,1959,2011,2.000,SAFE_T,T5,1959,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1934-2026:T4-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Monte Walsh.md,WL-WORK-2286,Monte Walsh,,杰克·谢弗,Jack Schaefer,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN;WL-TOPIC-Q15-PIRATE,STABLE_T,1963,T5,1963,T5,Monte Walsh,Jack Schaefer,/works/OL3916713W,3,1963,2003,2.000,SAFE_T,T5,1963,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1922-1991:T4-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,News of the World.md,WL-WORK-2290,News of the World,,波莱特·贾尔斯,Paulette Jiles,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,2016,T6,2016,T6,News of the World,Paulette Jiles,/works/OL19351465W,3,2016,2020,2.000,SAFE_T,T6,2016,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1958-2026:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Observations.md,WL-WORK-1537,Observations,,玛丽安娜·穆尔,Marianne Moore,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM,STABLE_T,1924,T4,1924,T4,Observations,Marianne Moore,/works/OL3357086W,2,1924,1925,2.000,SAFE_T,T4,1924,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1902-1972:T4-T5,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Our Sunshine.md,WL-WORK-2296,Our Sunshine,,罗伯特·德鲁,Robert Drewe,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,STABLE_T,1991,T6,1991,T6,Our sunshine,Robert Drewe,/works/OL550991W,6,1991,2004,2.000,SAFE_T,T6,1991,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1958-2026:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Paradise Sky.md,WL-WORK-2300,Paradise Sky,,乔·R.兰斯代尔,Joe R. Lansdale,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,2015,T6,2015,T6,Paradise sky,Joe R. Lansdale,/works/OL20001696W,1,2015,2015,2.000,SAFE_T,T6,2015,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1966-2026:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Ramrod.md,WL-WORK-2312,Ramrod,,卢克·肖特,Luke Short,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1943,T4,1943,T4,Ramrod,Luke Short,/works/OL2936315W,14,1943,2016,2.000,SAFE_T,T4,1943,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1923-1975:T4-T5,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Ragged Dick.md,WL-WORK-0940,Ragged Dick,,霍雷肖·阿尔杰,Horatio Alger,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN,STABLE_T,1868,T3,1868,T3,Ragged Dick,"Horatio Alger, Jr.",/works/OL2341714W,28,1868,2023,1.897,SAFE_T,T3,1868,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1847-1899:T3-T4,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Rinaldo Rinaldini.md,WL-WORK-2318,Rinaldo Rinaldini,,克里斯蒂安·奥古斯特·武尔皮乌斯,Christian August Vulpius,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,STABLE_T,1959,T5,1959,T5,Rinaldo Rinaldini,Christian August Vulpius,/works/OL6414090W,1,1959,1959,2.000,SAFE_T,T5,1959,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1777-1827:T2-T3,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Persian Pictures.md,WL-WORK-1364,Persian Pictures,,格特鲁德·贝尔,Gertrude Bell,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,STABLE_T,1928,T4,1928,T4,Persian Pictures,Gertrude Bell,/works/OL6901735W,3,1928,2019,2.000,SAFE_T,T4,1928,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1883-1926:T3-T4,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Sarajevo Blues.md,WL-WORK-1979,Sarajevo Blues,,塞梅兹丁·梅赫梅迪诺维奇,Semezdin Mehmedinović,,,batch5_source_refs,WL-TOPIC-Q6-WAR,STABLE_T,1992,T6,1992,T6,Sarajevo blues,Semezdin Mehmedinović,/works/OL1937277W,3,1992,1998,2.000,SAFE_T,T6,1992,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1975-2026:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Scary Stories to Tell in the Dark.md,WL-WORK-0517,Scary Stories to Tell in the Dark,,阿尔文·施瓦茨,Alvin Schwartz,,,batch1_source_refs,WL-TOPIC-G45-HORROR,STABLE_T,1981,T6,1981,T6,Scary stories to tell in the dark,Alvin Schwartz,/works/OL268379W,15,1981,2019,2.000,SAFE_T,T6,1981,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1942-1992:T4-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Rubyfruit Jungle.md,WL-WORK-0941,Rubyfruit Jungle,,丽塔·梅·布朗,Rita Mae Brown,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN,STABLE_T,1973,T5,1973,T5,Rubyfruit Jungle,Rita Mae Brown,/works/OL29528W,20,1973,2022,2.000,SAFE_T,T5,1973,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1959-2026:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Robin and the King.md,WL-WORK-2321,Robin and the King,,帕克·戈德温,Parke Godwin,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,STABLE_T,1993,T6,1993,T6,Robin and the king,Parke Godwin,/works/OL2751244W,1,1993,1993,2.000,SAFE_T,T6,1993,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1831-1904:T3-T4,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Sherwood.md,WL-WORK-2339,Sherwood,,帕克·戈德温,Parke Godwin,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,STABLE_T,1991,T6,1991,T6,Sherwood,Parke Godwin,/works/OL2751263W,2,1991,1995,2.000,SAFE_T,T6,1991,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1831-1904:T3-T4,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
