tier,file,id,title,title_original,author,author_original,canon_id,awards,source_ref_keys,topics
P2_EXTERNAL_MATCH_FRIENDLY,America Is in the Heart.md,WL-WORK-0914,America Is in the Heart,,卡洛斯·布洛桑,Carlos Bulosan,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN
P2_EXTERNAL_MATCH_FRIENDLY,American Indian Myths and Legends.md,WL-WORK-1346,American Indian Myths and Legends,,理查德·厄尔多斯 / 阿方索·奥尔蒂斯,Richard Erdoes / Alfonso Ortiz,,,batch3_source_refs,WL-TOPIC-G1-MYTH
P2_EXTERNAL_MATCH_FRIENDLY,An African in Greenland.md,WL-WORK-1347,An African in Greenland,,托戈·科波马西,Kpomassie,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL
P2_EXTERNAL_MATCH_FRIENDLY,Aniceto el Gallo.md,WL-WORK-2160,Aniceto el Gallo,,阿斯卡苏比,Hilario Ascasubi,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,Anton Reiser.md,WL-WORK-0915,Anton Reiser,,卡尔·菲利普·莫里茨,Karl Philipp Moritz,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN
P2_EXTERNAL_MATCH_FRIENDLY,Arabian Sands.md,WL-WORK-1349,Arabian Sands,,威尔弗雷德·塞西格,Wilfred Thesiger,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL
S_SPECIAL_TEXT,Aspremont.md,WL-WORK-2162,Aspremont,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,"Astucia, el jefe de los Hermanos de la Hoja.md",WL-WORK-2164,"Astucia, el jefe de los Hermanos de la Hoja",Astucia,路易斯·G.因克兰,Luis G. Inclán,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,Auschwitz and After.md,WL-WORK-1941,Auschwitz and After,,夏洛特·德尔博,Charlotte Delbo,,,batch5_source_refs,WL-TOPIC-Q6-WAR
P2_EXTERNAL_MATCH_FRIENDLY,Ayesha at Last.md,WL-WORK-1942,Ayesha at Last,,乌兹玛·贾拉勒丁,Uzma Jalaluddin,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,A代表不在场证明.md,WL-WORK-0095,A代表不在场证明,A Is for Alibi,苏·格拉夫顿,Sue Grafton,,,,WL-TOPIC-G45-MYSTERY
P2_EXTERNAL_MATCH_FRIENDLY,Banalata Sen.md,WL-WORK-1524,Banalata Sen,,吉巴纳南达·达斯,Jibanananda Das,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM
P2_EXTERNAL_MATCH_FRIENDLY,Bar-20.md,WL-WORK-2166,Bar-20,,克拉伦斯·E.马尔福德,Clarence E. Mulford,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Beach Read.md,WL-WORK-1944,Beach Read,,埃米莉·亨利,Emily Henry,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,Before I Let Go.md,WL-WORK-1945,Before I Let Go,,肯尼迪·瑞安,Kennedy Ryan,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,Before She Sleeps.md,WL-WORK-0916,Before She Sleeps,,比娜·沙阿,Bina Shah,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA
P2_EXTERNAL_MATCH_FRIENDLY,Beirut Blues.md,WL-WORK-1946,Beirut Blues,,哈南·谢赫,Hanan al-Shaykh,,,batch5_source_refs,WL-TOPIC-Q6-WAR
P2_EXTERNAL_MATCH_FRIENDLY,Bet Me.md,WL-WORK-1947,Bet Me,,珍妮弗·克鲁西,Jennifer Crusie,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,Between the Woods and the Water.md,WL-WORK-1350,Between the Woods and the Water,,帕特里克·利·弗莫尔,Patrick Leigh Fermor,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL
S_SPECIAL_TEXT,Bevis of Hampton.md,WL-WORK-2170,Bevis of Hampton,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,Big Rock Candy Mountain.md,WL-WORK-2171,Big Rock Candy Mountain,,华莱士·斯特格纳,Wallace Stegner,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P3_GENERAL_REVIEW,BJ单身日记.md,WL-WORK-1948,BJ单身日记,,海伦·菲尔丁,Helen Fielding,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,"Bless Me, Ultima.md",WL-WORK-2174,"Bless Me, Ultima",,鲁道夫·阿纳亚,Rudolfo Anaya,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Book Lovers.md,WL-WORK-1949,Book Lovers,,埃米莉·亨利,Emily Henry,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,Borderlands ／ La Frontera.md,WL-WORK-2175,Borderlands / La Frontera,,格洛丽亚·安扎尔杜亚,Gloria Anzaldúa,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Boyfriend Material.md,WL-WORK-1950,Boyfriend Material,,亚历克西斯·霍尔,Alexis Hall,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,Bread Givers.md,WL-WORK-0917,Bread Givers,,安齐娅·叶济尔斯卡,Anzia Yezierska,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN
P3_GENERAL_REVIEW,Brut.md,WL-WORK-2176,Brut,,亚瑟王出现,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,Buffalo Wagons.md,WL-WORK-2177,Buffalo Wagons,,埃尔默·凯尔顿,Elmer Kelton,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Bugles in the Afternoon.md,WL-WORK-2178,Bugles in the Afternoon,,欧内斯特·海科克斯,Ernest Haycox,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Burnt Offerings.md,WL-WORK-0494,Burnt Offerings,,罗伯特·马拉斯科,Robert Marasco,,,batch1_source_refs,WL-TOPIC-G45-HORROR
P2_EXTERNAL_MATCH_FRIENDLY,Butcher's Crossing.md,WL-WORK-2179,Butcher's Crossing,,约翰·威廉斯,John Williams,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Cancioneiro Guasca.md,WL-WORK-2180,Cancioneiro Guasca,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,Cangaceiros.md,WL-WORK-2181,Cangaceiros,,若泽·林斯·多雷戈,巴西,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,Casos do Romualdo.md,WL-WORK-2183,Casos do Romualdo,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,Ceremony.md,WL-WORK-0918,Ceremony,,莱斯利·马蒙·西尔科,Leslie Marmon Silko,,,batch2_source_refs;batch6_source_refs,WL-TOPIC-G44-HISTORICAL;WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Certain Dark Things.md,WL-WORK-0495,Certain Dark Things,,西尔维娅·莫雷诺-加西亚,Silvia Moreno-Garcia,,,batch1_source_refs,WL-TOPIC-G45-HORROR
P2_EXTERNAL_MATCH_FRIENDLY,"Changó, el gran putas.md",WL-WORK-1525,"Changó, el gran putas",,曼努埃尔·萨帕塔·奥利韦利亚,Afro-Latin史诗性书写,,,batch4_source_refs,WL-TOPIC-R6-LATAM
P3_GENERAL_REVIEW,China Iron历险记.md,WL-WORK-1526,China Iron历险记,,加夫列拉·卡贝松·卡马拉,,,,batch4_source_refs;batch6_source_refs,WL-TOPIC-R6-LATAM;WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,Cielitos.md,WL-WORK-2184,Cielitos,,巴托洛梅·伊达尔戈,Hidalgo,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,Cockfight.md,WL-WORK-0496,Cockfight,,玛丽亚·费尔南达·安普埃罗,María Fernanda Ampuero,,,batch1_source_refs,WL-TOPIC-G45-HORROR
P2_EXTERNAL_MATCH_FRIENDLY,"Cogewea, the Half-Blood.md",WL-WORK-2188,"Cogewea, the Half-Blood",,哀鸽,Mourning Dove,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Cogewea.md,WL-WORK-2187,Cogewea,,哀鸽,Mourning Dove,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Color.md,WL-WORK-1527,Color,,康蒂·卡伦,Countee Cullen,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM
P2_EXTERNAL_MATCH_FRIENDLY,Contos Gauchescos.md,WL-WORK-2190,Contos Gauchescos,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
S_SPECIAL_TEXT,Corrido de Gregorio Cortez.md,WL-WORK-2191,Corrido de Gregorio Cortez,,佚名,Gregorio Cortez,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,Count Hannibal.md,WL-WORK-2192,Count Hannibal,,斯坦利·韦曼,Stanley Weyman,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER
P2_EXTERNAL_MATCH_FRIENDLY,Cowboy Songs and Other Frontier Ballads.md,WL-WORK-2193,Cowboy Songs and Other Frontier Ballads,,约翰·A.洛马克斯,John A. Lomax,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Cracking India.md,WL-WORK-0919,Cracking India,,巴普西·西德瓦,Bapsi Sidhwa,,,batch2_source_refs,WL-TOPIC-G44-HISTORICAL
S_SPECIAL_TEXT,Curial e Güelfa.md,WL-WORK-2194,Curial e Güelfa,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P1_CANON_AWARD,Dance Hall of the Dead.md,WL-WORK-2195,Dance Hall of the Dead,,托尼·希勒曼,Tony Hillerman,,WL-AWARD-EDGAR,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,"Dark Continent, My Black Arse.md",WL-WORK-1353,"Dark Continent, My Black Arse",,西赫勒·库马洛,Sihle Khumalo,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL
P2_EXTERNAL_MATCH_FRIENDLY,Dark Fire.md,WL-WORK-0921,Dark Fire,,C.J.桑瑟姆,C.J. Sansom,,,batch2_source_refs,WL-TOPIC-G44-HISTORICAL
P2_EXTERNAL_MATCH_FRIENDLY,Dark Lover.md,WL-WORK-1952,Dark Lover,,J.R.沃德,J.R. Ward,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,Dead in the West.md,WL-WORK-2196,Dead in the West,,乔·R.兰斯代尔,Joe R. Lansdale,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Delilah Green Doesn't Care.md,WL-WORK-1953,Delilah Green Doesn't Care,,阿什莉·赫林·布莱克,Ashley Herring Blake,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,Delirium.md,WL-WORK-0922,Delirium,,劳伦·奥利弗,Lauren Oliver,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA
P2_EXTERNAL_MATCH_FRIENDLY,Desert Solitaire.md,WL-WORK-2199,Desert Solitaire,,爱德华·艾比,Edward Abbey,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Destry Rides Again.md,WL-WORK-2200,Destry Rides Again,,马克斯·布兰德,Max Brand,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Devil in Winter.md,WL-WORK-1955,Devil in Winter,,丽莎·克莱帕斯,Lisa Kleypas,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,Dispatches.md,WL-WORK-1956,Dispatches,,迈克尔·赫尔,Michael Herr,,,batch5_source_refs,WL-TOPIC-Q6-WAR
P2_EXTERNAL_MATCH_FRIENDLY,Diálogos patrióticos.md,WL-WORK-2201,Diálogos patrióticos,,巴托洛梅·伊达尔戈,Hidalgo,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,Don Segundo Sombra.md,WL-WORK-2202,Don Segundo Sombra,,里卡多·吉拉尔德斯,Güiraldes,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,Dreaming in Cuban.md,WL-WORK-0923,Dreaming in Cuban,,克里斯蒂娜·加西亚,Cristina García,,,batch2_source_refs,WL-TOPIC-G43-FAMILY
P2_EXTERNAL_MATCH_FRIENDLY,Dungeon Crawler Carl.md,WL-WORK-0499,Dungeon Crawler Carl,,马特·丁尼曼,Matt Dinniman,,,batch1_source_refs,WL-TOPIC-G45-FANTASY
P2_EXTERNAL_MATCH_FRIENDLY,El gaucho Martín Fierro.md,WL-WORK-2205,El gaucho Martín Fierro,,何塞·埃尔南德斯,Hernández,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,El guacho Martín Fierro.md,WL-WORK-2206,El guacho Martín Fierro,,法里尼亚,Fariña,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,El inglés de los güesos.md,WL-WORK-2207,El inglés de los güesos,,贝尼托·林奇,Lynch,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,El Martín Fierro.md,WL-WORK-2208,El Martín Fierro,,博尔赫斯 / 玛格丽塔·格雷罗,Borges / Margarita Guerrero,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P3_GENERAL_REVIEW,El matadero ／ 屠场.md,WL-WORK-2209,El matadero / 屠场,,埃斯特万·埃切维里亚,Esteban Echeverría,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,El payador.md,WL-WORK-2211,El payador,,莱奥波尔多·卢贡内斯,Lugones,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,El romance de un gaucho.md,WL-WORK-2212,El romance de un gaucho,,贝尼托·林奇,Lynch,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,El Zarco.md,WL-WORK-2214,El Zarco,,伊格纳西奥·曼努埃尔·阿尔塔米拉诺,Ignacio Manuel Altamirano,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,Eldorado.md,WL-WORK-2215,Eldorado,,奥希兹男爵夫人,Baroness Orczy,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER
P2_EXTERNAL_MATCH_FRIENDLY,Erec.md,WL-WORK-2218,Erec,,哈特曼·冯·奥埃,Hartmann von Aue,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
S_SPECIAL_TEXT,Estoire del Saint Graal.md,WL-WORK-2220,Estoire del Saint Graal,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
S_SPECIAL_TEXT,Eustace the Monk.md,WL-WORK-2221,Eustace the Monk,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW;WL-TOPIC-Q15-PIRATE
P2_EXTERNAL_MATCH_FRIENDLY,Exquisite Corpse.md,WL-WORK-0500,Exquisite Corpse,,波比·Z.布赖特,Poppy Z. Brite,,,batch1_source_refs,WL-TOPIC-G45-HORROR
P2_EXTERNAL_MATCH_FRIENDLY,Facial Justice.md,WL-WORK-0924,Facial Justice,,L.P.哈特利,L.P. Hartley,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA
P2_EXTERNAL_MATCH_FRIENDLY,Facundo／ Civilization and Barbarism.md,WL-WORK-2224,Facundo: Civilization and Barbarism,,萨米恩托,Domingo Faustino Sarmiento,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,Fausto.md,WL-WORK-2225,Fausto,,埃斯塔尼斯劳·德尔·坎波,del Campo的,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,Feed.md,WL-WORK-0925,Feed,,M.T.安德森,M.T. Anderson,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA
S_SPECIAL_TEXT,Fierabras.md,WL-WORK-2226,Fierabras,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,Flashman.md,WL-WORK-2227,Flashman,,乔治·麦克唐纳·弗雷泽,Flashman系列，从,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER
P2_EXTERNAL_MATCH_FRIENDLY,Fools Crow.md,WL-WORK-0926,Fools Crow,,詹姆斯·韦尔奇,James Welch,,,batch2_source_refs;batch6_source_refs,WL-TOPIC-G44-HISTORICAL;WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Forbidden.md,WL-WORK-1958,Forbidden,,贝弗利·詹金斯,Beverly Jenkins,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,Fourth Wing.md,WL-WORK-1959,Fourth Wing,,丽贝卡·亚罗斯,Rebecca Yarros,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,From a Crooked Rib.md,WL-WORK-0927,From a Crooked Rib,,努鲁丁·法拉赫,Nuruddin Farah,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN
S_SPECIAL_TEXT,Fulk FitzWarin.md,WL-WORK-2231,Fulk FitzWarin,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
S_SPECIAL_TEXT,Gamelyn.md,WL-WORK-2232,Gamelyn,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,Games of Command.md,WL-WORK-1960,Games of Command,,林妮娅·辛克莱,Linnea Sinclair,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,Gestaltes en diere.md,WL-WORK-1530,Gestaltes en diere,,N.P.范维克·劳,N. P. van Wyk Louw,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM
P2_EXTERNAL_MATCH_FRIENDLY,"Get a Life, Chloe Brown.md",WL-WORK-1961,"Get a Life, Chloe Brown",,塔莉娅·希伯特,Talia Hibbert,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
S_SPECIAL_TEXT,Girart de Roussillon.md,WL-WORK-2233,Girart de Roussillon,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,Gnomon.md,WL-WORK-0928,Gnomon,,尼克·哈卡维,Nick Harkaway,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA
P3_GENERAL_REVIEW,Going After Cacciato.md,WL-WORK-1963,Going After Cacciato,,美国一侧,,,,batch5_source_refs,WL-TOPIC-Q6-WAR
P3_GENERAL_REVIEW,GOTH断掌事件.md,WL-WORK-0501,GOTH断掌事件,,乙一,,,,batch1_source_refs,WL-TOPIC-G45-HORROR
P2_EXTERNAL_MATCH_FRIENDLY,Greguerías.md,WL-WORK-1531,Greguerías,,拉蒙·戈麦斯·德拉塞尔纳,Ramón Gómez de la Serna,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM
