file,id,title,author,refs,source_years,status,chosen_year,chosen_t,evidence
Flashman.md,WL-WORK-2227,Flashman,Flashman系列，从,剑客书单.md:1230 ; 剑客书单.md:1961,,NO_SOURCE_YEAR,,,
"Get a Life, Chloe Brown.md",WL-WORK-1961,"Get a Life, Chloe Brown",Talia Hibbert,爱情书单.md:1237 ; 爱情书单.md:1247,,NO_SOURCE_YEAR,,,
Grito de Gloria.md,WL-WORK-2236,Grito de Gloria,Acevedo Díaz,Gaucho书单.md:578,,NO_SOURCE_YEAR,,,
Harvest Home.md,WL-WORK-0502,Harvest Home,Thomas Tryon,恐怖书单.md:1360 ; 恐怖书单.md:1717 ; 恐怖书单.md:688,,NO_SOURCE_YEAR,,,
How the Soldier Repairs the Gramophone.md,WL-WORK-1965,How the Soldier Repairs the Gramophone,Saša Stanišić,战争书单.md:1576,,NO_SOURCE_YEAR,,,
I Will Repay.md,WL-WORK-2246,I Will Repay,Baroness Orczy,剑客书单.md:829,,NO_SOURCE_YEAR,,,
Ismael.md,WL-WORK-2249,Ismael,Acevedo Díaz,Gaucho书单.md:1731 ; Gaucho书单.md:574,,NO_SOURCE_YEAR,,,
Jerilderie Letter.md,WL-WORK-2251,Jerilderie Letter,Ned Kelly,侠盗书单.md:1009 ; 侠盗书单.md:2032,,NO_SOURCE_YEAR,,,
Joseph d'Arimathie.md,WL-WORK-2253,Joseph d'Arimathie,Robert de Boron,骑士书单.md:454,,NO_SOURCE_YEAR,,,
Juan Cuello.md,WL-WORK-2254,Juan Cuello,Eduardo Gutiérrez,Gaucho书单.md:482,,NO_SOURCE_YEAR,,,
Juan Moreira.md,WL-WORK-2255,Juan Moreira,Gutiérrez,Gaucho书单.md:1721 ; Gaucho书单.md:452 ; 侠盗书单.md:1129 ; 侠盗书单.md:2040,,NO_SOURCE_YEAR,,,
Kalpa Imperial.md,WL-WORK-0472,Kalpa Imperial,Angélica Gorodischer,,,NO_SOURCE_YEAR,,,
Kernok the Pirate.md,WL-WORK-2256,Kernok the Pirate,Eugène Sue,海盗书单.md:1345 ; 海盗书单.md:381,,NO_SOURCE_YEAR,,,
Kintu.md,WL-WORK-0932,Kintu,与Makumbi,家族书单.md:1547 ; 家族书单.md:1569 ; 家族书单.md:2617,,NO_SOURCE_YEAR,,,
La cautiva.md,WL-WORK-2258,La cautiva,Echeverría,Gaucho书单.md:104 ; Gaucho书单.md:1436 ; Gaucho书单.md:1702,,NO_SOURCE_YEAR,,,
La guerra gaucha.md,WL-WORK-2259,La guerra gaucha,Lugones,Gaucho书单.md:1736 ; Gaucho书单.md:620,,NO_SOURCE_YEAR,,,
Las aventuras de la China Iron.md,WL-WORK-2267,Las aventuras de la China Iron,Cabezón Cámara,Gaucho书单.md:1761 ; Gaucho书单.md:63 ; Gaucho书单.md:964 ; 侠盗书单.md:1165 ; 侠盗书单.md:2043,,NO_SOURCE_YEAR,,,
Le Capitan.md,WL-WORK-2269,Le Capitan,Le Capitan,剑客书单.md:1911 ; 剑客书单.md:549,,NO_SOURCE_YEAR,,,
Little Big Man.md,WL-WORK-2273,Little Big Man,Thomas Berger,世界武人英雄谱系.md:1186 ; 西部书单.md:2293 ; 西部书单.md:743,,NO_SOURCE_YEAR,,,
Los tres gauchos orientales.md,WL-WORK-2278,Los tres gauchos orientales,Lussich,Gaucho书单.md:1712 ; Gaucho书单.md:285,,NO_SOURCE_YEAR,,,
Maid Marian.md,WL-WORK-2279,Maid Marian,Peacock,侠盗书单.md:1993 ; 侠盗书单.md:225,,NO_SOURCE_YEAR,,,
Masterman Ready.md,WL-WORK-0510,Masterman Ready,Marryat,冒险书单.md:433,,NO_SOURCE_YEAR,,,
Merlin.md,WL-WORK-2282,Merlin,T.H. White,骑士书单.md:458 ; 骑士书单.md:482,,NO_SOURCE_YEAR,,,
Minty Alley.md,WL-WORK-1536,Minty Alley,C. L. R. James,现代主义书单.md:964,,NO_SOURCE_YEAR,,,
Nativa.md,WL-WORK-2289,Nativa,Acevedo Díaz,Gaucho书单.md:576,,NO_SOURCE_YEAR,,,
Naufragios.md,WL-WORK-0515,Naufragios,Cabeza de Vaca,冒险书单.md:331 ; 旅行书单.md:2035 ; 旅行书单.md:540 ; 西部书单.md:132 ; 西部书单.md:2247,,NO_SOURCE_YEAR,,,
Palmerín de Inglaterra.md,WL-WORK-2298,Palmerín de Inglaterra,Francisco de Moraes,骑士书单.md:744,,NO_SOURCE_YEAR,,,
Parzival.md,WL-WORK-2301,Parzival,Wolfram的,骑士书单.md:1845 ; 骑士书单.md:588 ; 骑士书单.md:610,,NO_SOURCE_YEAR,,,
Paulino Lucero.md,WL-WORK-2302,Paulino Lucero,Ascasubi,Gaucho书单.md:1709 ; Gaucho书单.md:215,,NO_SOURCE_YEAR,,,
Peregrine's Progress.md,WL-WORK-2305,Peregrine's Progress,Farnol,剑客书单.md:1423,,NO_SOURCE_YEAR,,,
Personal Narrative.md,WL-WORK-1365,Personal Narrative,Humboldt,旅行书单.md:2055 ; 旅行书单.md:727,,NO_SOURCE_YEAR,,,
Riders of the Silences.md,WL-WORK-2317,Riders of the Silences,Max Brand,西部书单.md:511,,NO_SOURCE_YEAR,,,
"Rinaldo Rinaldini, the Robber Captain.md",WL-WORK-2319,"Rinaldo Rinaldini, the Robber Captain",Christian August Vulpius,侠盗书单.md:372,,NO_SOURCE_YEAR,,,
Roman de Brut.md,WL-WORK-2330,Roman de Brut,Wace,骑士书单.md:1820 ; 骑士书单.md:258,,NO_SOURCE_YEAR,,,
Roman de Silence.md,WL-WORK-2331,Roman de Silence,Heldris of Cornwall,骑士书单.md:913,,NO_SOURCE_YEAR,,,
Santos Vega o los mellizos de la Flor.md,WL-WORK-2337,Santos Vega o los mellizos de la Flor,Ascasubi,Gaucho书单.md:1710 ; Gaucho书单.md:219,,NO_SOURCE_YEAR,,,
Santos Vega.md,WL-WORK-2336,Santos Vega,Obligado,Gaucho书单.md:1726 ; Gaucho书单.md:538,,NO_SOURCE_YEAR,,,
Segu.md,WL-WORK-0942,Segu,Maryse Condé,家族书单.md:1515 ; 家族书单.md:2615,,NO_SOURCE_YEAR,,,
Seth Jones.md,WL-WORK-2338,Seth Jones,Edward S. Ellis,西部书单.md:2256 ; 西部书单.md:245,,NO_SOURCE_YEAR,,,
Shadowland.md,WL-WORK-0518,Shadowland,Peter Straub,恐怖书单.md:734,,NO_SOURCE_YEAR,,,
Sinophagia／ A Celebration of Chinese Horror.md,WL-WORK-0519,Sinophagia: A Celebration of Chinese Horror,Xueting C. Ni,恐怖书单.md:1055,,NO_SOURCE_YEAR,,,
Smoky the Cowhorse.md,WL-WORK-2344,Smoky the Cowhorse,Will James,西部书单.md:2273 ; 西部书单.md:515,,NO_SOURCE_YEAR,,,
Teatro Grottesco.md,WL-WORK-0522,Teatro Grottesco,Ligotti,恐怖书单.md:1736 ; 恐怖书单.md:875,,NO_SOURCE_YEAR,,,
Tell Me I'm Worthless.md,WL-WORK-0523,Tell Me I'm Worthless,Alison Rumfitt,恐怖书单.md:956,,NO_SOURCE_YEAR,,,
Thaddeus of Warsaw.md,WL-WORK-0945,Thaddeus of Warsaw,Jane Porter,历史书单.md:232,,NO_SOURCE_YEAR,,,
The Adventures of Col. Daniel Boone.md,WL-WORK-2355,The Adventures of Col. Daniel Boone,John Filson,西部书单.md:134,,NO_SOURCE_YEAR,,,
The Assassination of Jesse James.md,WL-WORK-2361,The Assassination of Jesse James...,Ron Hansen,侠盗书单.md:2026 ; 西部书单.md:1650 ; 西部书单.md:2332,,NO_SOURCE_YEAR,,,
The Ballad of Black Tom.md,WL-WORK-0524,The Ballad of Black Tom,Victor LaValle,恐怖书单.md:945,,NO_SOURCE_YEAR,,,
The Brave Cowboy.md,WL-WORK-2367,The Brave Cowboy,Abbey,侠盗书单.md:916 ; 西部书单.md:1227 ; 西部书单.md:1953 ; 西部书单.md:2325,,NO_SOURCE_YEAR,,,
The Buccaneers of America.md,WL-WORK-2368,The Buccaneers of America,Alexandre Exquemelin,海盗书单.md:1332 ; 海盗书单.md:225,,NO_SOURCE_YEAR,,,
The City Inside.md,WL-WORK-0948,The City Inside,Samit Basu,反乌托邦书单.md:914,,NO_SOURCE_YEAR,,,
The Conjure-Man Dies.md,WL-WORK-1542,The Conjure-Man Dies,Rudolph Fisher,现代主义书单.md:591,,NO_SOURCE_YEAR,,,
The Corsair.md,WL-WORK-2373,The Corsair,Byron,海盗书单.md:1079 ; 海盗书单.md:1343 ; 海盗书单.md:347,,NO_SOURCE_YEAR,,,
The Dreaming & Other Essays.md,WL-WORK-1372,The Dreaming & Other Essays,W.E.H. Stanner,神话书单.md:987,,NO_SOURCE_YEAR,,,
The Elusive Pimpernel.md,WL-WORK-2378,The Elusive Pimpernel,Baroness Orczy,剑客书单.md:833,,NO_SOURCE_YEAR,,,
The Forging of a Rebel.md,WL-WORK-1988,The Forging of a Rebel,Arturo Barea,战争书单.md:803,,NO_SOURCE_YEAR,,,
The Headless Horseman.md,WL-WORK-0535,The Headless Horseman,Mayne Reid,冒险书单.md:892,,NO_SOURCE_YEAR,,,
The House of the Wolf.md,WL-WORK-2384,The House of the Wolf,Stanley Weyman,剑客书单.md:673,,NO_SOURCE_YEAR,,,
The Imago Sequence.md,WL-WORK-0536,The Imago Sequence,Laird Barron,恐怖书单.md:885,,NO_SOURCE_YEAR,,,
The New Negro.md,WL-WORK-1543,The New Negro,Alain Locke 编,现代主义书单.md:590,,NO_SOURCE_YEAR,,,
The Old Patagonian Express.md,WL-WORK-1377,The Old Patagonian Express,Paul Theroux,旅行书单.md:1150,,NO_SOURCE_YEAR,,,
The Old Ways.md,WL-WORK-1378,The Old Ways,Robert Macfarlane,旅行书单.md:1501 ; 旅行书单.md:2112,,NO_SOURCE_YEAR,,,
The Phantom Coach.md,WL-WORK-0543,The Phantom Coach,Amelia B. Edwards,恐怖书单.md:304,,NO_SOURCE_YEAR,,,
The Principal Navigations.md,WL-WORK-1379,The Principal Navigations...,Richard Hakluyt,旅行书单.md:560,,NO_SOURCE_YEAR,,,
The Purple Land.md,WL-WORK-2399,The Purple Land,Hudson,Gaucho书单.md:1727 ; Gaucho书单.md:556,,NO_SOURCE_YEAR,,,
The Pyrates.md,WL-WORK-2400,The Pyrates,解构,剑客书单.md:1257 ; 剑客书单.md:1962,,NO_SOURCE_YEAR,,,
The Six-Gun Tarot.md,WL-WORK-2407,The Six-Gun Tarot,R.S. Belcher,西部书单.md:1442 ; 西部书单.md:2122,,NO_SOURCE_YEAR,,,
The Squatter and the Don.md,WL-WORK-2408,The Squatter and the Don,Helen Hunt Jackson,西部书单.md:2264 ; 西部书单.md:335,,NO_SOURCE_YEAR,,,
The Time It Never Rained.md,WL-WORK-2415,The Time It Never Rained,Kelton,西部书单.md:2326 ; 西部书单.md:710,,NO_SOURCE_YEAR,,,
The Underdogs ／ Los de abajo.md,WL-WORK-2416,The Underdogs / Los de abajo,Mariano Azuela,侠盗书单.md:1273,,NO_SOURCE_YEAR,,,
The Untamed.md,WL-WORK-2417,The Untamed,Max Brand,西部书单.md:2272 ; 西部书单.md:509,,NO_SOURCE_YEAR,,,
This One Summer.md,WL-WORK-0954,This One Summer,Mariko & Jillian Tamaki,成长书单.md:1756,,NO_SOURCE_YEAR,,,
Torto Arado.md,WL-WORK-1544,Torto Arado,乡村,拉美书单.md:1629,,NO_SOURCE_YEAR,,,
Tracks.md,WL-WORK-1384,Tracks,Robyn Davidson,旅行书单.md:1517 ; 旅行书单.md:2111,,NO_SOURCE_YEAR,,,
Tristan.md,WL-WORK-2423,Tristan,Béroul,骑士书单.md:1832 ; 骑士书单.md:1833 ; 骑士书单.md:396 ; 骑士书单.md:400 ; 骑士书单.md:408 ; 骑士书单.md:616,,NO_SOURCE_YEAR,,,
Uninhabited House.md,WL-WORK-0552,Uninhabited House,Charlotte Riddell,恐怖书单.md:300,,NO_SOURCE_YEAR,,,
Yoruba Myths.md,WL-WORK-1390,Yoruba Myths,Ulli Beier,神话书单.md:823,,NO_SOURCE_YEAR,,,
国王叙事诗.md,WL-WORK-2484,国王叙事诗,解构,骑士书单.md:1170 ; 骑士书单.md:1883,,NO_SOURCE_YEAR,,,
大鼻子情圣.md,WL-WORK-2497,大鼻子情圣,Edmond Rostand,剑客书单.md:1912 ; 剑客书单.md:595,,NO_SOURCE_YEAR,,,
强盗.md,WL-WORK-2520,强盗,Schiller,侠盗书单.md:1587 ; 侠盗书单.md:1999 ; 侠盗书单.md:342 ; 侠盗书单.md:344,,NO_SOURCE_YEAR,,,
桶子.md,WL-WORK-0053,桶子,Crofts,,,NO_SOURCE_YEAR,,,
永恒者.md,WL-WORK-0471,永恒者,Héctor Germán Oesterheld,,,NO_SOURCE_YEAR,,,
猎人.md,WL-WORK-0255,猎人,Richard Stark,,,NO_SOURCE_YEAR,,,
穿绿裤子的唐·希尔.md,WL-WORK-2587,穿绿裤子的唐·希尔,Tirso de Molina,剑客书单.md:158,,NO_SOURCE_YEAR,,,
米夏埃尔·科尔哈斯.md,WL-WORK-2590,米夏埃尔·科尔哈斯,Kleist,侠盗书单.md:1539 ; 侠盗书单.md:2001 ; 侠盗书单.md:387 ; 侠盗书单.md:389,,NO_SOURCE_YEAR,,,
致命的宁静.md,WL-WORK-0138,致命的宁静,Louise Penny,,,NO_SOURCE_YEAR,,,
苏格兰西部群岛之旅.md,WL-WORK-1500,苏格兰西部群岛之旅,Johnson,旅行书单.md:2044 ; 旅行书单.md:614,,NO_SOURCE_YEAR,,,
赫布里底群岛旅行日记.md,WL-WORK-1509,赫布里底群岛旅行日记,Boswell,旅行书单.md:2045 ; 旅行书单.md:616,,NO_SOURCE_YEAR,,,
野兽必须死.md,WL-WORK-0066,野兽必须死,Nicholas Blake,,,NO_SOURCE_YEAR,,,
雇员们.md,WL-WORK-0482,雇员们,Olga Ravn,,,NO_SOURCE_YEAR,,,
青砥稿花红彩画.md,WL-WORK-2639,青砥稿花红彩画,日本,侠盗书单.md:2019 ; 侠盗书单.md:771,,NO_SOURCE_YEAR,,,
驼背人.md,WL-WORK-2645,驼背人,复仇,剑客书单.md:1522 ; 剑客书单.md:1909 ; 剑客书单.md:509,,NO_SOURCE_YEAR,,,
高卢的阿玛迪斯.md,WL-WORK-2648,高卢的阿玛迪斯,Garci Rodríguez de Montalvo,骑士书单.md:1856 ; 骑士书单.md:714 ; 骑士书单.md:716 ; 骑士书单.md:770,,NO_SOURCE_YEAR,,,
麦地那与麦加朝圣记.md,WL-WORK-1521,麦地那与麦加朝圣记,Burton,旅行书单.md:2058 ; 旅行书单.md:777,,NO_SOURCE_YEAR,,,
