tier,file,id,title,title_original,author,author_original,canon_id,awards,source_ref_keys,topics,deep_status,deep_earliest_year,deep_earliest_t,deep_first_publish_year,deep_first_publish_t,deep_title,deep_authors,deep_key,deep_year_count,deep_year_min,deep_year_max,deep_match_score,resolution_status,chosen_t,canonical_year_candidate,resolution_reason,lifespan_status,author_birth_year,author_death_year,lifespan_proven_t,lifespan_reason
P2_EXTERNAL_MATCH_FRIENDLY,El gaucho Martín Fierro.md,WL-WORK-2205,El gaucho Martín Fierro,,何塞·埃尔南德斯,Hernández,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,STABLE_T,1872,T3,1872,T3,El gaucho Martin Fierro,José Hernández,/works/OL38633873W,1,1872,1872,1.783,SAFE_T,T3,1872,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1834,1886,T3,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Exquisite Corpse.md,WL-WORK-0500,Exquisite Corpse,,波比·Z.布赖特,Poppy Z. Brite,,,batch1_source_refs,WL-TOPIC-G45-HORROR,STABLE_T,1996,T6,1996,T6,Exquisite Corpse,Poppy Z. Brite,/works/OL20864713W,6,1996,2015,2.000,SAFE_T,T6,1996,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1967,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Feed.md,WL-WORK-0925,Feed,,M.T.安德森,M.T. Anderson,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA,STABLE_T,2002,T6,2002,T6,Feed,M. T. Anderson,/works/OL112043W,10,2002,2020,2.000,SAFE_T,T6,2002,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1968,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Fourth Wing.md,WL-WORK-1959,Fourth Wing,,丽贝卡·亚罗斯,Rebecca Yarros,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2023,T6,2023,T6,Fourth Wing,Rebecca Yarros,/works/OL29226517W,3,2023,2025,2.000,SAFE_T,T6,2023,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1981,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Her Privates We.md,WL-WORK-1964,Her Privates We,,弗雷德里克·曼宁,Frederic Manning,,,batch5_source_refs,WL-TOPIC-Q6-WAR,STABLE_T,1930,T4,1930,T4,"Her privates, we",Frederic Manning,/works/OL4445615W,3,1930,1964,2.000,SAFE_T,T4,1930,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1882,1935,T4,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,How Much of These Hills Is Gold.md,WL-WORK-2244,How Much of These Hills Is Gold,,张沧畔,C Pam Zhang,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,2020,T6,2020,T6,How much of these hills is gold,C Pam Zhang,/works/OL20660554W,2,2020,2021,2.000,SAFE_T,T6,2020,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1990,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Human Sacrifices.md,WL-WORK-0503,Human Sacrifices,,玛丽亚·费尔南达·安普埃罗,María Fernanda Ampuero,,,batch1_source_refs,WL-TOPIC-G45-HORROR,STABLE_T,2023,T6,2023,T6,Human Sacrifices,María Fernanda Ampuero,/works/OL37878809W,1,2023,2023,2.000,SAFE_T,T6,2023,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1976,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Jawbone.md,WL-WORK-0505,Jawbone,,莫妮卡·奥赫达,Mónica Ojeda,,,batch1_source_refs,WL-TOPIC-G45-HORROR,STABLE_T,2022,T6,2022,T6,Jawbone,Mónica Ojeda,/works/OL28803815W,1,2022,2022,2.000,SAFE_T,T6,2022,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1988,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Jennifer Government.md,WL-WORK-0931,Jennifer Government,,马克斯·巴里,Max Barry,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA,STABLE_T,2003,T6,2003,T6,Jennifer Government,Max Barry,/works/OL8052942W,2,2003,2004,2.000,SAFE_T,T6,2003,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1973,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Just Like Home.md,WL-WORK-0506,Just Like Home,,萨拉·盖利,Sarah Gailey,,,batch1_source_refs,WL-TOPIC-G45-HORROR,STABLE_T,2022,T6,2022,T6,Just Like Home,Sarah Gailey,/works/OL25453693W,2,2022,2023,2.000,SAFE_T,T6,2022,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1990,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,La vuelta de Martín Fierro.md,WL-WORK-2263,La vuelta de Martín Fierro,,何塞·埃尔南德斯,Hernández,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO;WL-TOPIC-Q15-OUTLAW,STABLE_T,1879,T3,1879,T3,La vuelta de Martin Fierro,José Hernández,/works/OL38632971W,1,1879,1879,1.783,SAFE_T,T3,1879,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1834,1886,T3,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,"Letters Written during a Short Residence in Sweden, Norway, and Denmark.md",WL-WORK-1360,"Letters Written during a Short Residence in Sweden, Norway, and Denmark",,玛丽·沃斯通克拉夫特,Mary Wollstonecraft,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,STABLE_T,1796,T2,1796,T2,"Letters written during a short residence in Sweden, Norway, and Denmark",Mary Wollstonecraft,/works/OL849224W,9,1796,2009,2.000,SAFE_T,T2,1796,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1759,1797,T2,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Lone Women.md,WL-WORK-2274,Lone Women,,维克多·拉瓦勒,Victor LaValle,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,2024,T6,2024,T6,Lone Women,Victor LaValle,/works/OL37573401W,1,2024,2024,2.000,SAFE_T,T6,2024,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1972,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Looking for Transwonderland／ Travels in Nigeria.md,WL-WORK-1361,Looking for Transwonderland: Travels in Nigeria,Looking for Transwonderland,努·萨罗-维瓦,Noo Saro-Wiwa,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,STABLE_T,2012,T6,2012,T6,Looking for transwonderland,Noo Saro-Wiwa,/works/OL16592918W,1,2012,2012,2.000,SAFE_T,T6,2012,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1976,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,QualityLand.md,WL-WORK-0939,QualityLand,,马克-乌韦·克林,Marc-Uwe Kling,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA,STABLE_T,2017,T6,2017,T6,QualityLand,Marc-Uwe Kling,/works/OL19792034W,4,2017,2021,2.000,SAFE_T,T6,2017,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1982,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Reservation Blues.md,WL-WORK-2315,Reservation Blues,,谢尔曼·阿莱克西,Sherman Alexie,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1995,T6,1995,T6,Reservation blues,Sherman Alexie,/works/OL46478W,4,1995,2005,2.000,SAFE_T,T6,1995,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1966,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Ring Shout.md,WL-WORK-0516,Ring Shout,,P.杰利·克拉克,P. Djèlí Clark,,,batch1_source_refs,WL-TOPIC-G45-HORROR,STABLE_T,2020,T6,2020,T6,Ring Shout,P. Djèlí Clark,/works/OL20890999W,2,2020,2021,2.000,SAFE_T,T6,2020,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1971,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Slave to Sensation.md,WL-WORK-1982,Slave to Sensation,,纳莉妮·辛格,Nalini Singh,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2006,T6,2006,T6,Slave to Sensation,Nalini Singh,/works/OL5696710W,2,2006,2009,2.000,SAFE_T,T6,2006,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1977,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,The Absolutely True Diary of a Part-Time Indian.md,WL-WORK-0946,The Absolutely True Diary of a Part-Time Indian,,谢尔曼·阿莱克西,Sherman Alexie,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN,STABLE_T,2007,T6,2007,T6,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,/works/OL46472W,10,2007,2019,2.000,SAFE_T,T6,2007,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1966,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,The Boy Hunters.md,WL-WORK-0525,The Boy Hunters,,梅恩·里德,Mayne Reid,,,batch1_source_refs,WL-TOPIC-G45-ADVENTURE,STABLE_T,1880,T3,1880,T3,The boy hunters,Mayne Reid,/works/OL5305928W,4,1880,2007,2.000,SAFE_T,T3,1880,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1818,1883,T3,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,The Kiss Quotient.md,WL-WORK-1989,The Kiss Quotient,,海伦·黄,Helen Hoang,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2018,T6,2018,T6,The Kiss Quotient,Helen Hoang,/works/OL19744698W,5,2018,2023,2.000,SAFE_T,T6,2018,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1982,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,The Ritual.md,WL-WORK-0546,The Ritual,,亚当·内维尔,Adam Nevill,,,batch1_source_refs,WL-TOPIC-G45-HORROR,STABLE_T,2012,T6,2012,T6,The ritual,Adam Nevill,/works/OL16167566W,1,2012,2012,2.000,SAFE_T,T6,2012,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1969,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,The Road to Oxiana.md,WL-WORK-1380,The Road to Oxiana,,罗伯特·拜伦,Robert Byron,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,STABLE_T,1937,T4,1937,T4,The road to Oxiana,Robert Byron,/works/OL2313671W,7,1937,2007,2.000,SAFE_T,T4,1937,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1905,1941,T4,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,The Sisters Brothers.md,WL-WORK-2406,The Sisters Brothers,,帕特里克·德威特,Patrick deWitt,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN;WL-TOPIC-Q15-OUTLAW,STABLE_T,2011,T6,2011,T6,The Sisters Brothers,Patrick deWitt,/works/OL16190670W,1,2011,2011,2.000,SAFE_T,T6,2011,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1975,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,The Surrendered.md,WL-WORK-1993,The Surrendered,,李昌来,Chang-rae Lee,,,batch5_source_refs,WL-TOPIC-Q6-WAR,STABLE_T,2008,T6,2008,T6,The Surrendered,Chang-rae Lee,/works/OL8460280W,3,2008,2011,2.000,SAFE_T,T6,2008,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1965,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,The Viscount Who Loved Me.md,WL-WORK-1994,The Viscount Who Loved Me,,朱莉娅·奎因,Julia Quinn,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2000,T6,2000,T6,The Viscount Who Loved Me,Julia Quinn,/works/OL8464993W,8,2000,2022,2.000,SAFE_T,T6,2000,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1970,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,The Yellow Birds.md,WL-WORK-1996,The Yellow Birds,,凯文·鲍尔斯,Kevin Powers,,,batch5_source_refs,WL-TOPIC-Q6-WAR,STABLE_T,2012,T6,2012,T6,The yellow birds,Kevin Powers,/works/OL16646245W,3,2012,2014,2.000,SAFE_T,T6,2012,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1980,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Those Across the River.md,WL-WORK-0550,Those Across the River,,克里斯托弗·比尔曼,Christopher Buehlman,,,batch1_source_refs,WL-TOPIC-G45-HORROR,STABLE_T,2011,T6,2011,T6,Those across the river,Christopher Buehlman,/works/OL15920647W,5,2011,2021,2.000,SAFE_T,T6,2011,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1969,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,两扇门的房子不好守.md,WL-WORK-2442,两扇门的房子不好守,"Casa con dos puertas, mala es de guardar",卡尔德隆,Pedro Calderón de la Barca,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER,STABLE_T,1700,T2,1700,T2,Casa con dos puertas mala es de guardar,Pedro Calderón de la Barca,/works/OL37328249W,2,1700,1796,2.000,SAFE_T,T2,1700,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1600,1681,T2,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,传奇与拿铁.md,WL-WORK-0582,传奇与拿铁,Legends & Lattes,特拉维斯·鲍德里,Travis Baldree,,,batch1_source_refs,WL-TOPIC-G45-FANTASY,STABLE_T,2022,T6,2022,T6,Legends & Lattes,Travis Baldree,/works/OL27591348W,3,2022,2024,2.000,SAFE_T,T6,2022,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1977,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,园丁之犬.md,WL-WORK-2483,园丁之犬,El perro del hortelano,洛佩·德·维加,Lope de Vega,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER,STABLE_T,1700,T2,1700,T2,El perro del hortelano,Lope de Vega,/works/OL34731656W,1,1700,1700,2.000,SAFE_T,T2,1700,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1562,1635,T2,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,幽灵小姐.md,WL-WORK-2515,幽灵小姐,La dama duende,卡尔德隆,Pedro Calderón de la Barca,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER,STABLE_T,1685,T2,1685,T2,La dama duende,Pedro Calderón de la Barca,/works/OL20652829W,1,1685,1685,2.000,SAFE_T,T2,1685,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1600,1681,T2,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,弗拉卡斯上尉.md,WL-WORK-2519,弗拉卡斯上尉,Le Capitaine Fracasse,泰奥菲尔·戈蒂耶,Théophile Gautier,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER,STABLE_T,1863,T3,1863,T3,Le capitaine Fracasse,Théophile Gautier,/works/OL44835396W,2,1863,1864,2.000,SAFE_T,T3,1863,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1811,1872,T3,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,归乡.md,WL-WORK-1101,归乡,Homegoing,雅·吉亚西,Yaa Gyasi,,,batch2_source_refs;batch5_source_refs,WL-TOPIC-G43-FAMILY;WL-TOPIC-G44-HISTORICAL;WL-TOPIC-Q10-MEMORY,STABLE_T,2016,T6,2016,T6,Homegoing,Yaa Gyasi,/works/OL17795349W,4,2016,2019,2.000,SAFE_T,T6,2016,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1989,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,拉莫娜.md,WL-WORK-2528,拉莫娜,Ramona,海伦·亨特·杰克逊,Helen Hunt Jackson,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1884,T3,1884,T3,Ramona,Helen Hunt Jackson,/works/OL1800220W,34,1884,2009,2.000,SAFE_T,T3,1884,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1830,1885,T3,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,申诉.md,WL-WORK-0145,申诉,The Appeal,珍妮丝·哈利特,Janice Hallett,,,,WL-TOPIC-G45-MYSTERY,STABLE_T,2021,T6,2021,T6,The Appeal,Janice Hallett,/works/OL24630275W,2,2021,2022,2.000,SAFE_T,T6,2021,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1969,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,白狼.md,WL-WORK-2580,白狼,Le Loup blanc,保罗·费瓦尔,Paul Féval,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER,STABLE_T,1878,T3,1878,T3,Le loup blanc,Paul Féval,/works/OL1544765W,4,1878,1992,2.000,SAFE_T,T3,1878,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1817,1887,T3,author possible composition interval lies wholly inside candidate T
