tier,file,id,title,title_original,author,author_original,canon_id,awards,source_ref_keys,topics,deep_status,deep_earliest_year,deep_earliest_t,deep_first_publish_year,deep_first_publish_t,deep_title,deep_authors,deep_key,deep_year_count,deep_year_min,deep_year_max,deep_match_score,resolution_status,chosen_t,canonical_year_candidate,resolution_reason,author_only_status,author_only_proven_t,author_active_start,author_active_end,author_match_name,author_match_score,author_birth_year,author_death_year,author_key
P2_EXTERNAL_MATCH_FRIENDLY,Arabian Sands.md,WL-WORK-1349,Arabian Sands,,威尔弗雷德·塞西格,Wilfred Thesiger,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,STABLE_T,1959,T5,1959,T5,Arabian sands,Wilfred Thesiger,/works/OL2880104W,15,1959,2010,2.000,SAFE_T,T5,1959,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1925-2003:T4-T6,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Auschwitz and After.md,WL-WORK-1941,Auschwitz and After,,夏洛特·德尔博,Charlotte Delbo,,,batch5_source_refs,WL-TOPIC-Q6-WAR,STABLE_T,1995,T6,1995,T6,Auschwitz and after,Charlotte Delbo,/works/OL2398922W,1,1995,1995,2.000,SAFE_T,T6,1995,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Ayesha at Last.md,WL-WORK-1942,Ayesha at Last,,乌兹玛·贾拉勒丁,Uzma Jalaluddin,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2018,T6,2018,T6,Ayesha At Last,Uzma Jalaluddin,/works/OL20163357W,2,2018,2019,2.000,SAFE_T,T6,2018,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,A代表不在场证明.md,WL-WORK-0095,A代表不在场证明,A Is for Alibi,苏·格拉夫顿,Sue Grafton,,,,WL-TOPIC-G45-MYSTERY,STABLE_T,1982,T6,1982,T6,"""A"" is for Alibi",Sue Grafton,/works/OL13754384W,25,1982,2019,2.000,SAFE_T,T6,1982,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1955-2017:T5-T6,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Banalata Sen.md,WL-WORK-1524,Banalata Sen,,吉巴纳南达·达斯,Jibanananda Das,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM,STABLE_T,1962,T5,1962,T5,Banalata Sen,Jibanananda Das,/works/OL333397W,2,1962,2000,2.000,SAFE_T,T5,1962,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1914-1954:T4-T5,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Bar-20.md,WL-WORK-2166,Bar-20,,克拉伦斯·E.马尔福德,Clarence E. Mulford,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,2016,T6,2016,T6,Bar-20,Clarence E. Mulford,/works/OL40167007W,3,2016,2018,2.000,SAFE_T,T6,2016,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Before I Let Go.md,WL-WORK-1945,Before I Let Go,,肯尼迪·瑞安,Kennedy Ryan,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2022,T6,2022,T6,Before I Let Go,Kennedy Ryan,/works/OL27850288W,3,2022,2024,2.000,SAFE_T,T6,2022,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Before She Sleeps.md,WL-WORK-0916,Before She Sleeps,,比娜·沙阿,Bina Shah,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA,STABLE_T,2018,T6,2018,T6,Before she sleeps,Bina Shah,/works/OL19751027W,3,2018,2020,2.000,SAFE_T,T6,2018,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Beirut Blues.md,WL-WORK-1946,Beirut Blues,,哈南·谢赫,Hanan al-Shaykh,,,batch5_source_refs,WL-TOPIC-Q6-WAR,STABLE_T,1995,T6,1995,T6,Beirut blues,Ḥanān Shaykh,/works/OL1865813W,2,1995,1996,1.889,SAFE_T,T6,1995,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1960-2026:T5-T6,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Bet Me.md,WL-WORK-1947,Bet Me,,珍妮弗·克鲁西,Jennifer Crusie,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2004,T6,2004,T6,Bet me,Jennifer Crusie,/works/OL15829432W,1,2004,2004,2.000,SAFE_T,T6,2004,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Between the Woods and the Water.md,WL-WORK-1350,Between the Woods and the Water,,帕特里克·利·弗莫尔,Patrick Leigh Fermor,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,STABLE_T,1986,T6,1986,T6,Between the Woods and the Water,Patrick Leigh Fermor,/works/OL3583226W,13,1986,2021,2.000,SAFE_T,T6,1986,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1930-2011:T4-T6,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Big Rock Candy Mountain.md,WL-WORK-2171,Big Rock Candy Mountain,,华莱士·斯特格纳,Wallace Stegner,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,2013,T6,2013,T6,Big Rock Candy Mountain,Wallace Stegner,/works/OL28345359W,1,2013,2013,2.000,SAFE_T,T6,2013,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1924-1993:T4-T6,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Borderlands ／ La Frontera.md,WL-WORK-2175,Borderlands / La Frontera,,格洛丽亚·安扎尔杜亚,Gloria Anzaldúa,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1987,T6,1987,T6,Borderlands/La Frontera,Gloria Anzaldúa,/works/OL61326W,8,1987,2022,2.000,SAFE_T,T6,1987,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1957-2004:T5-T6,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Bread Givers.md,WL-WORK-0917,Bread Givers,,安齐娅·叶济尔斯卡,Anzia Yezierska,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN,STABLE_T,1925,T4,1925,T4,Bread givers,Anzia Yezierska,/works/OL14866180W,5,1925,2003,2.000,SAFE_T,T4,1925,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Buffalo Wagons.md,WL-WORK-2177,Buffalo Wagons,,埃尔默·凯尔顿,Elmer Kelton,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1956,T5,1956,T5,Buffalo Wagons,Elmer Kelton,/works/OL43023900W,2,1956,1957,2.000,SAFE_T,T5,1956,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1941-2026:T4-T6,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Bugles in the Afternoon.md,WL-WORK-2178,Bugles in the Afternoon,,欧内斯特·海科克斯,Ernest Haycox,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1944,T4,1944,T4,Bugles in the afternoon,Ernest Haycox,/works/OL14848325W,8,1944,2003,2.000,SAFE_T,T4,1944,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1914-1950:T4-T5,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Burnt Offerings.md,WL-WORK-0494,Burnt Offerings,,罗伯特·马拉斯科,Robert Marasco,,,batch1_source_refs,WL-TOPIC-G45-HORROR,STABLE_T,1973,T5,1973,T5,Burnt offerings,Robert Marasco,/works/OL6562613W,5,1973,1993,2.000,SAFE_T,T5,1973,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Butcher's Crossing.md,WL-WORK-2179,Butcher's Crossing,,约翰·威廉斯,John Williams,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1960,T5,1960,T5,Butcher's Crossing,John Williams,/works/OL3511457W,8,1960,2016,2.000,SAFE_T,T5,1960,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1969-2026:T5-T6,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Cancioneiro Guasca.md,WL-WORK-2180,Cancioneiro Guasca,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,STABLE_T,1910,T4,1910,T4,Cancioneiro guasca,J. Simões Lopes Neto,/works/OL12155895W,3,1910,1999,1.944,SAFE_T,T4,1910,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Casos do Romualdo.md,WL-WORK-2183,Casos do Romualdo,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,STABLE_T,1952,T5,1952,T5,Casos do Romualdo,J. Simões Lopes Neto,/works/OL3206193W,2,1952,1992,1.944,SAFE_T,T5,1952,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Color.md,WL-WORK-1527,Color,,康蒂·卡伦,Countee Cullen,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM,STABLE_T,1925,T4,1925,T4,Color,Countee Cullen,/works/OL2836099W,2,1925,1969,2.000,SAFE_T,T4,1925,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1918-1946:T4-T5,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Contos Gauchescos.md,WL-WORK-2190,Contos Gauchescos,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,STABLE_T,1983,T6,1983,T6,Contos gauchescos,J. Simões Lopes Neto,/works/OL3206195W,5,1983,2000,1.944,SAFE_T,T6,1983,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Count Hannibal.md,WL-WORK-2192,Count Hannibal,,斯坦利·韦曼,Stanley Weyman,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER,STABLE_T,2016,T6,2016,T6,Count Hannibal,Stanley . Weyman,/works/OL41401873W,1,2016,2016,2.000,SAFE_T,T6,2016,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Cowboy Songs and Other Frontier Ballads.md,WL-WORK-2193,Cowboy Songs and Other Frontier Ballads,,约翰·A.洛马克斯,John A. Lomax,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1925,T4,1925,T4,Cowboy Songs and other frontier ballads,John A. Lomax,/works/OL43750291W,1,1925,1925,2.000,SAFE_T,T4,1925,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Cracking India.md,WL-WORK-0919,Cracking India,,巴普西·西德瓦,Bapsi Sidhwa,,,batch2_source_refs,WL-TOPIC-G44-HISTORICAL,STABLE_T,1991,T6,1991,T6,Cracking India,Bapsi Sidhwa,/works/OL3935996W,5,1991,2010,2.000,SAFE_T,T6,1991,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,"Dark Continent, My Black Arse.md",WL-WORK-1353,"Dark Continent, My Black Arse",,西赫勒·库马洛,Sihle Khumalo,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,STABLE_T,2007,T6,2007,T6,"Dark continent, my black arse",Sihle Khumalo,/works/OL13767935W,1,2007,2007,2.000,SAFE_T,T6,2007,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Dark Fire.md,WL-WORK-0921,Dark Fire,,C.J.桑瑟姆,C.J. Sansom,,,batch2_source_refs,WL-TOPIC-G44-HISTORICAL,STABLE_T,2001,T6,2001,T6,Dark fire,C. J. Sansom,/works/OL17719162W,6,2001,2012,2.000,SAFE_T,T6,2001,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Dark Lover.md,WL-WORK-1952,Dark Lover,,J.R.沃德,J.R. Ward,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2005,T6,2005,T6,Dark Lover,J. R. Ward,/works/OL5091273W,9,2005,2015,2.000,SAFE_T,T6,2005,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Dead in the West.md,WL-WORK-2196,Dead in the West,,乔·R.兰斯代尔,Joe R. Lansdale,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1986,T6,1986,T6,Dead in the West,Joe R. Lansdale,/works/OL54770W,2,1986,1994,2.000,SAFE_T,T6,1986,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1966-2026:T5-T6,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Delilah Green Doesn't Care.md,WL-WORK-1953,Delilah Green Doesn't Care,,阿什莉·赫林·布莱克,Ashley Herring Blake,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2022,T6,2022,T6,Delilah Green Doesn't Care,Ashley Herring Blake,/works/OL25917284W,1,2022,2022,2.000,SAFE_T,T6,2022,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Delirium.md,WL-WORK-0922,Delirium,,劳伦·奥利弗,Lauren Oliver,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA,STABLE_T,2011,T6,2011,T6,Delirium,Lauren Oliver,/works/OL27432616W,3,2011,2013,2.000,SAFE_T,T6,2011,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Desert Solitaire.md,WL-WORK-2199,Desert Solitaire,,爱德华·艾比,Edward Abbey,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1968,T5,1968,T5,Desert solitaire,Edward Abbey,/works/OL2929632W,14,1968,1998,2.000,SAFE_T,T5,1968,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1942-1989:T4-T6,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Devil in Winter.md,WL-WORK-1955,Devil in Winter,,丽莎·克莱帕斯,Lisa Kleypas,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2006,T6,2006,T6,Devil in Winter,Lisa Kleypas,/works/OL4331781W,2,2006,2023,2.000,SAFE_T,T6,2006,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1979-2026:T5-T6,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Dispatches.md,WL-WORK-1956,Dispatches,,迈克尔·赫尔,Michael Herr,,,batch5_source_refs,WL-TOPIC-Q6-WAR,STABLE_T,1977,T5,1977,T5,Dispatches,Michael Herr,/works/OL4482600W,16,1977,2016,2.000,SAFE_T,T5,1977,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1955-2016:T5-T6,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Don Segundo Sombra.md,WL-WORK-2202,Don Segundo Sombra,,里卡多·吉拉尔德斯,Güiraldes,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,STABLE_T,1998,T6,1998,T6,Don Segundo Sombra,R. Guiraldes,/works/OL9246572W,1,1998,1998,1.900,SAFE_T,T6,1998,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_STRONG_MATCH:0.720,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Dreaming in Cuban.md,WL-WORK-0923,Dreaming in Cuban,,克里斯蒂娜·加西亚,Cristina García,,,batch2_source_refs,WL-TOPIC-G43-FAMILY,STABLE_T,1992,T6,1992,T6,Dreaming in Cuban,Cristina García,/works/OL938779W,5,1992,2004,2.000,SAFE_T,T6,1992,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1973-2026:T5-T6,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Dungeon Crawler Carl.md,WL-WORK-0499,Dungeon Crawler Carl,,马特·丁尼曼,Matt Dinniman,,,batch1_source_refs,WL-TOPIC-G45-FANTASY,STABLE_T,2020,T6,2020,T6,Dungeon Crawler Carl,Matt Dinniman,/works/OL24593432W,5,2020,2026,2.000,SAFE_T,T6,2020,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,El gaucho Martín Fierro.md,WL-WORK-2205,El gaucho Martín Fierro,,何塞·埃尔南德斯,Hernández,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,STABLE_T,1872,T3,1872,T3,El gaucho Martin Fierro,José Hernández,/works/OL38633873W,1,1872,1872,1.783,SAFE_T,T3,1872,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_STRONG_MATCH:0.750,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,El Martín Fierro.md,WL-WORK-2208,El Martín Fierro,,博尔赫斯 / 玛格丽塔·格雷罗,Borges / Margarita Guerrero,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,STABLE_T,1953,T5,1953,T5,El Martin Fierro,Jorge Luis Borges; Margarita Guerrero,/works/OL104909W,11,1953,2017,1.820,SAFE_T,T5,1953,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,MULTI_OR_EMPTY,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,El Zarco.md,WL-WORK-2214,El Zarco,,伊格纳西奥·曼努埃尔·阿尔塔米拉诺,Ignacio Manuel Altamirano,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,STABLE_T,1933,T4,1933,T4,El Zarco,Ignacio Manuel Altamirano,/works/OL2100520W,14,1933,2005,2.000,SAFE_T,T4,1933,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Erec.md,WL-WORK-2218,Erec,,哈特曼·冯·奥埃,Hartmann von Aue,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT,STABLE_T,1871,T3,1871,T3,Erec,Hartmann von Aue,/works/OL34614544W,6,1871,2005,2.000,SAFE_T,T3,1871,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Facial Justice.md,WL-WORK-0924,Facial Justice,,L.P.哈特利,L.P. Hartley,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA,STABLE_T,1960,T5,1960,T5,Facial Justice,L. P. Hartley,/works/OL11882354W,2,1960,2014,2.000,SAFE_T,T5,1960,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1910-1972:T4-T5,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Feed.md,WL-WORK-0925,Feed,,M.T.安德森,M.T. Anderson,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA,STABLE_T,2002,T6,2002,T6,Feed,M. T. Anderson,/works/OL112043W,10,2002,2020,2.000,SAFE_T,T6,2002,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Fools Crow.md,WL-WORK-0926,Fools Crow,,詹姆斯·韦尔奇,James Welch,,,batch2_source_refs;batch6_source_refs,WL-TOPIC-G44-HISTORICAL;WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1986,T6,1986,T6,Fools crow,James Welch,/works/OL11377485W,3,1986,1995,2.000,SAFE_T,T6,1986,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Forbidden.md,WL-WORK-1958,Forbidden,,贝弗利·詹金斯,Beverly Jenkins,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2016,T6,2016,T6,Forbidden,Beverly Jenkins,/works/OL20018773W,1,2016,2016,2.000,SAFE_T,T6,2016,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1966-2026:T5-T6,,,,,,,,
