file,id,title,title_original,author,author_original,year,axis_t_raw,valid_t,invalid_t,status,suggested_t,special_hint,reason,verification_status,bibliography_status,canon_id
Color.md,WL-WORK-1527,Color,,康蒂·卡伦,Countee Cullen,1925,T4 现代主义前夜与现代主义文学,,T4 现代主义前夜与现代主义文学,INVALID_T_LABEL,T4,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Contos Gauchescos.md,WL-WORK-2190,Contos Gauchescos,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,1912,T4 现代主义前夜与现代主义文学,,T4 现代主义前夜与现代主义文学,INVALID_T_LABEL,T4,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Count Hannibal.md,WL-WORK-2192,Count Hannibal,,斯坦利·韦曼,Stanley Weyman,1901,T4 现代主义前夜与现代主义文学,,T4 现代主义前夜与现代主义文学,INVALID_T_LABEL,T4,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Cowboy Songs and Other Frontier Ballads.md,WL-WORK-2193,Cowboy Songs and Other Frontier Ballads,,约翰·A.洛马克斯,John A. Lomax,1910,T4 现代主义前夜与现代主义文学,,T4 现代主义前夜与现代主义文学,INVALID_T_LABEL,T4,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Desert Solitaire.md,WL-WORK-2199,Desert Solitaire,,爱德华·艾比,Edward Abbey,1968,T5 战后文学,,T5 战后文学,INVALID_T_LABEL,T5,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Dispatches.md,WL-WORK-1956,Dispatches,,迈克尔·赫尔,Michael Herr,1977,T5 战后文学,,T5 战后文学,INVALID_T_LABEL,T5,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
El Zarco.md,WL-WORK-2214,El Zarco,,伊格纳西奥·曼努埃尔·阿尔塔米拉诺,Ignacio Manuel Altamirano,1888,T3 十九世纪文学,,T3 十九世纪文学,INVALID_T_LABEL,T3,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Erec.md,WL-WORK-2218,Erec,,哈特曼·冯·奥埃,Hartmann von Aue,1185,T1 中古文学,,T1 中古文学,INVALID_T_LABEL,T1,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Facial Justice.md,WL-WORK-0924,Facial Justice,,L.P.哈特利,L.P. Hartley,1960,T5 战后文学,,T5 战后文学,INVALID_T_LABEL,T5,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
From a Crooked Rib.md,WL-WORK-0927,From a Crooked Rib,,努鲁丁·法拉赫,Nuruddin Farah,1970,T5 战后文学,,T5 战后文学,INVALID_T_LABEL,T5,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Gestaltes en diere.md,WL-WORK-1530,Gestaltes en diere,,N.P.范维克·劳,N. P. van Wyk Louw,1942,T4 现代主义前夜与现代主义文学,,T4 现代主义前夜与现代主义文学,INVALID_T_LABEL,T4,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Greguerías.md,WL-WORK-1531,Greguerías,,拉蒙·戈麦斯·德拉塞尔纳,Ramón Gómez de la Serna,1917,T4 现代主义前夜与现代主义文学,,T4 现代主义前夜与现代主义文学,INVALID_T_LABEL,T4,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Harmonium.md,WL-WORK-1532,Harmonium,,华莱士·史蒂文斯,Wallace Stevens,1923,T4 现代主义前夜与现代主义文学,,T4 现代主义前夜与现代主义文学,INVALID_T_LABEL,T4,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
In Flanders Fields.md,WL-WORK-1967,In Flanders Fields,,约翰·麦克雷,John McCrae,1915,T4 现代主义前夜与现代主义文学,,T4 现代主义前夜与现代主义文学,INVALID_T_LABEL,T4,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Iwein.md,WL-WORK-2250,Iwein,,哈特曼·冯·奥埃,Hartmann,1200,T1 中古文学,,T1 中古文学,INVALID_T_LABEL,T1,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Jerilderie Letter.md,WL-WORK-2251,Jerilderie Letter,,内德·凯利,Ned Kelly,1879,T3 十九世纪文学,,T3 十九世纪文学,INVALID_T_LABEL,T3,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
