file,id,title,title_original,author,author_original,year,axis_t_raw,valid_t,invalid_t,status,suggested_t,special_hint,reason,verification_status,bibliography_status,canon_id
A Rumor of War.md,WL-WORK-1937,A Rumor of War,,菲利普·卡普托,Philip Caputo,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Small Place.md,WL-WORK-1343,A Small Place,,牙买加·金凯德,Jamaica Kincaid,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
"Adam Bell, Clim of the Clough and William of Cloudesley.md",WL-WORK-2158,"Adam Bell, Clim of the Clough and William of Cloudesley",,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Afsaneh ／ 传说.md,WL-WORK-1523,Afsaneh / 传说,,尼玛·尤什吉,Nima Yushij,,,,,MISSING_T_REVIEW_NO_YEAR,,title_aggregate_or_tradition,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Agents of Dreamland.md,WL-WORK-0491,Agents of Dreamland,,凯特琳·R.基尔南,Kiernan,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Always Only You.md,WL-WORK-1939,Always Only You,,克洛伊·利泽,Chloe Liese,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Ambiguity Machines and Other Stories.md,WL-WORK-0477,Ambiguity Machines and Other Stories,,万达娜·辛格,Vandana Singh,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,,
American Indian Myths and Legends.md,WL-WORK-1346,American Indian Myths and Legends,,理查德·厄尔多斯 / 阿方索·奥尔蒂斯,Richard Erdoes / Alfonso Ortiz,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
An African in Greenland.md,WL-WORK-1347,An African in Greenland,,托戈·科波马西,Kpomassie,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Arabian Sands.md,WL-WORK-1349,Arabian Sands,,威尔弗雷德·塞西格,Wilfred Thesiger,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Aspremont.md,WL-WORK-2162,Aspremont,,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Auschwitz and After.md,WL-WORK-1941,Auschwitz and After,,夏洛特·德尔博,Charlotte Delbo,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Ayesha at Last.md,WL-WORK-1942,Ayesha at Last,,乌兹玛·贾拉勒丁,Uzma Jalaluddin,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A代表不在场证明.md,WL-WORK-0095,A代表不在场证明,A Is for Alibi,苏·格拉夫顿,Sue Grafton,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,,
Banalata Sen.md,WL-WORK-1524,Banalata Sen,,吉巴纳南达·达斯,Jibanananda Das,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Bar-20.md,WL-WORK-2166,Bar-20,,克拉伦斯·E.马尔福德,Clarence E. Mulford,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Before I Let Go.md,WL-WORK-1945,Before I Let Go,,肯尼迪·瑞安,Kennedy Ryan,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Before She Sleeps.md,WL-WORK-0916,Before She Sleeps,,比娜·沙阿,Bina Shah,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Beirut Blues.md,WL-WORK-1946,Beirut Blues,,哈南·谢赫,Hanan al-Shaykh,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Bet Me.md,WL-WORK-1947,Bet Me,,珍妮弗·克鲁西,Jennifer Crusie,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Between the Woods and the Water.md,WL-WORK-1350,Between the Woods and the Water,,帕特里克·利·弗莫尔,Patrick Leigh Fermor,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Bevis of Hampton.md,WL-WORK-2170,Bevis of Hampton,,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Big Rock Candy Mountain.md,WL-WORK-2171,Big Rock Candy Mountain,,华莱士·斯特格纳,Wallace Stegner,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
BJ单身日记.md,WL-WORK-1948,BJ单身日记,,海伦·菲尔丁,Helen Fielding,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
"Bless Me, Ultima.md",WL-WORK-2174,"Bless Me, Ultima",,鲁道夫·阿纳亚,Rudolfo Anaya,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Borderlands ／ La Frontera.md,WL-WORK-2175,Borderlands / La Frontera,,格洛丽亚·安扎尔杜亚,Gloria Anzaldúa,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Bread Givers.md,WL-WORK-0917,Bread Givers,,安齐娅·叶济尔斯卡,Anzia Yezierska,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Brut.md,WL-WORK-2176,Brut,,亚瑟王出现,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Buffalo Wagons.md,WL-WORK-2177,Buffalo Wagons,,埃尔默·凯尔顿,Elmer Kelton,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Bugles in the Afternoon.md,WL-WORK-2178,Bugles in the Afternoon,,欧内斯特·海科克斯,Ernest Haycox,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Burnt Offerings.md,WL-WORK-0494,Burnt Offerings,,罗伯特·马拉斯科,Robert Marasco,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Butcher's Crossing.md,WL-WORK-2179,Butcher's Crossing,,约翰·威廉斯,John Williams,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Cancioneiro Guasca.md,WL-WORK-2180,Cancioneiro Guasca,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Cangaceiros.md,WL-WORK-2181,Cangaceiros,,若泽·林斯·多雷戈,巴西,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Casos do Romualdo.md,WL-WORK-2183,Casos do Romualdo,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Ceremony.md,WL-WORK-0918,Ceremony,,莱斯利·马蒙·西尔科,Leslie Marmon Silko,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
"Changó, el gran putas.md",WL-WORK-1525,"Changó, el gran putas",,曼努埃尔·萨帕塔·奥利韦利亚,Afro-Latin史诗性书写,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
China Iron历险记.md,WL-WORK-1526,China Iron历险记,,加夫列拉·卡贝松·卡马拉,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Cielitos.md,WL-WORK-2184,Cielitos,,巴托洛梅·伊达尔戈,Hidalgo,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Color.md,WL-WORK-1527,Color,,康蒂·卡伦,Countee Cullen,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Contos Gauchescos.md,WL-WORK-2190,Contos Gauchescos,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Corrido de Gregorio Cortez.md,WL-WORK-2191,Corrido de Gregorio Cortez,,佚名,Gregorio Cortez,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Count Hannibal.md,WL-WORK-2192,Count Hannibal,,斯坦利·韦曼,Stanley Weyman,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Cowboy Songs and Other Frontier Ballads.md,WL-WORK-2193,Cowboy Songs and Other Frontier Ballads,,约翰·A.洛马克斯,John A. Lomax,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Cracking India.md,WL-WORK-0919,Cracking India,,巴普西·西德瓦,Bapsi Sidhwa,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Curial e Güelfa.md,WL-WORK-2194,Curial e Güelfa,,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
"Dark Continent, My Black Arse.md",WL-WORK-1353,"Dark Continent, My Black Arse",,西赫勒·库马洛,Sihle Khumalo,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Dark Fire.md,WL-WORK-0921,Dark Fire,,C.J.桑瑟姆,C.J. Sansom,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Dead in the West.md,WL-WORK-2196,Dead in the West,,乔·R.兰斯代尔,Joe R. Lansdale,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Delilah Green Doesn't Care.md,WL-WORK-1953,Delilah Green Doesn't Care,,阿什莉·赫林·布莱克,Ashley Herring Blake,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Delirium.md,WL-WORK-0922,Delirium,,劳伦·奥利弗,Lauren Oliver,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Desert Solitaire.md,WL-WORK-2199,Desert Solitaire,,爱德华·艾比,Edward Abbey,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Destry Rides Again.md,WL-WORK-2200,Destry Rides Again,,马克斯·布兰德,Max Brand,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Devil in Winter.md,WL-WORK-1955,Devil in Winter,,丽莎·克莱帕斯,Lisa Kleypas,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Dispatches.md,WL-WORK-1956,Dispatches,,迈克尔·赫尔,Michael Herr,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Diálogos patrióticos.md,WL-WORK-2201,Diálogos patrióticos,,巴托洛梅·伊达尔戈,Hidalgo,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Don Segundo Sombra.md,WL-WORK-2202,Don Segundo Sombra,,里卡多·吉拉尔德斯,Güiraldes,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Dreaming in Cuban.md,WL-WORK-0923,Dreaming in Cuban,,克里斯蒂娜·加西亚,Cristina García,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Dungeon Crawler Carl.md,WL-WORK-0499,Dungeon Crawler Carl,,马特·丁尼曼,Matt Dinniman,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
El guacho Martín Fierro.md,WL-WORK-2206,El guacho Martín Fierro,,法里尼亚,Fariña,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
El inglés de los güesos.md,WL-WORK-2207,El inglés de los güesos,,贝尼托·林奇,Lynch,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
El Martín Fierro.md,WL-WORK-2208,El Martín Fierro,,博尔赫斯 / 玛格丽塔·格雷罗,Borges / Margarita Guerrero,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
El matadero ／ 屠场.md,WL-WORK-2209,El matadero / 屠场,,埃斯特万·埃切维里亚,Esteban Echeverría,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
El payador.md,WL-WORK-2211,El payador,,莱奥波尔多·卢贡内斯,Lugones,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
El romance de un gaucho.md,WL-WORK-2212,El romance de un gaucho,,贝尼托·林奇,Lynch,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
El Zarco.md,WL-WORK-2214,El Zarco,,伊格纳西奥·曼努埃尔·阿尔塔米拉诺,Ignacio Manuel Altamirano,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Eldorado.md,WL-WORK-2215,Eldorado,,奥希兹男爵夫人,Baroness Orczy,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Erec.md,WL-WORK-2218,Erec,,哈特曼·冯·奥埃,Hartmann von Aue,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Estoire del Saint Graal.md,WL-WORK-2220,Estoire del Saint Graal,,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Eustace the Monk.md,WL-WORK-2221,Eustace the Monk,,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Facial Justice.md,WL-WORK-0924,Facial Justice,,L.P.哈特利,L.P. Hartley,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Fausto.md,WL-WORK-2225,Fausto,,埃斯塔尼斯劳·德尔·坎波,del Campo的,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Fierabras.md,WL-WORK-2226,Fierabras,,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Flashman.md,WL-WORK-2227,Flashman,,乔治·麦克唐纳·弗雷泽,Flashman系列，从,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Fools Crow.md,WL-WORK-0926,Fools Crow,,詹姆斯·韦尔奇,James Welch,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Forbidden.md,WL-WORK-1958,Forbidden,,贝弗利·詹金斯,Beverly Jenkins,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
From a Crooked Rib.md,WL-WORK-0927,From a Crooked Rib,,努鲁丁·法拉赫,Nuruddin Farah,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Fulk FitzWarin.md,WL-WORK-2231,Fulk FitzWarin,,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Gamelyn.md,WL-WORK-2232,Gamelyn,,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Games of Command.md,WL-WORK-1960,Games of Command,,林妮娅·辛克莱,Linnea Sinclair,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Gestaltes en diere.md,WL-WORK-1530,Gestaltes en diere,,N.P.范维克·劳,N. P. van Wyk Louw,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
"Get a Life, Chloe Brown.md",WL-WORK-1961,"Get a Life, Chloe Brown",,塔莉娅·希伯特,Talia Hibbert,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Girart de Roussillon.md,WL-WORK-2233,Girart de Roussillon,,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Gnomon.md,WL-WORK-0928,Gnomon,,尼克·哈卡维,Nick Harkaway,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Going After Cacciato.md,WL-WORK-1963,Going After Cacciato,,美国一侧,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
GOTH断掌事件.md,WL-WORK-0501,GOTH断掌事件,,乙一,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Greguerías.md,WL-WORK-1531,Greguerías,,拉蒙·戈麦斯·德拉塞尔纳,Ramón Gómez de la Serna,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Grito de Gloria.md,WL-WORK-2236,Grito de Gloria,,阿塞韦多·迪亚斯,Acevedo Díaz,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Guy of Warwick.md,WL-WORK-2237,Guy of Warwick,,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Harmonium.md,WL-WORK-1532,Harmonium,,华莱士·史蒂文斯,Wallace Stevens,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Hood.md,WL-WORK-2240,Hood,,斯蒂芬·R.劳黑德,Stephen R. Lawhead,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Huon de Bordeaux.md,WL-WORK-2245,Huon de Bordeaux,,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
I Will Repay.md,WL-WORK-2246,I Will Repay,,奥希兹男爵夫人,Baroness Orczy,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
I'm Waiting for You and Other Stories.md,WL-WORK-0480,I'm Waiting for You and Other Stories,,金宝英,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,,
If I Die in a Combat Zone.md,WL-WORK-1966,If I Die in a Combat Zone,,美国一侧,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
In Flanders Fields.md,WL-WORK-1967,In Flanders Fields,,约翰·麦克雷,John McCrae,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
In Parenthesis.md,WL-WORK-1968,In Parenthesis,,戴维·琼斯,David Jones,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Indigo.md,WL-WORK-1969,Indigo,,贝弗利·詹金斯,Beverly Jenkins,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Inland.md,WL-WORK-2248,Inland,,特娅·奥布雷赫特,Téa Obreht,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Ismael.md,WL-WORK-2249,Ismael,,阿塞韦多·迪亚斯,Acevedo Díaz,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Iwein.md,WL-WORK-2250,Iwein,,哈特曼·冯·奥埃,Hartmann,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Jerilderie Letter.md,WL-WORK-2251,Jerilderie Letter,,内德·凯利,Ned Kelly,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Joseph d'Arimathie.md,WL-WORK-2253,Joseph d'Arimathie,,罗贝尔·德·博龙,Robert de Boron,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Juan Moreira.md,WL-WORK-2255,Juan Moreira,,爱德华多·古铁雷斯,Gutiérrez,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Kalpa Imperial.md,WL-WORK-0472,Kalpa Imperial,,安赫利卡·戈罗迪舍尔,Angélica Gorodischer,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,,
