tradition,slot,status,current_anchor,gap_candidate,priority
波斯—伊朗文学传统,现代主义小说,COVERED,盲枭,,
波斯—伊朗文学传统,现代社会小说/女性写作,COVERED,苏乌尚,,P2
土耳其—奥斯曼文学传统,奥古兹口传/英雄传统,COVERED,德德·科尔库特之书,,
土耳其—奥斯曼文学传统,早期安纳托利亚神秘诗,COVERED,尤努斯·埃姆雷诗集,,P0
土耳其—奥斯曼文学传统,Ottoman Divan宫廷诗,COVERED,巴基诗集,,P0
土耳其—奥斯曼文学传统,民间诗歌/asik传统,COVERED,卡拉贾奥兰诗歌,,P2
土耳其—奥斯曼文学传统,帝国旅行/城市观察,COVERED,旅行书,,
土耳其—奥斯曼文学传统,Tanzimat文学改革,COVERED,İntibah,,P0
土耳其—奥斯曼文学传统,晚奥斯曼/Servet-i Funun小说,COVERED,禁忌之恋,,P0
土耳其—奥斯曼文学传统,共和国早期现代主义,COVERED,时间调校研究所,,
土耳其—奥斯曼文学传统,安纳托利亚/乡土社会小说,COVERED,瘦子麦麦德,,
土耳其—奥斯曼文学传统,当代后现代/全球小说,COVERED,我的名字叫红/杰夫代特先生和他的儿子们,,
