file,id,title,title_original,author,author_original,current_year,topics,topic_links,source_refs,source_ref_keys,canon_id,awards,verification_status,bibliography_status,publication_year,publication_year_type,year_source_1,year_source_2,source_agreement,confidence,suggested_t,review_status,notes
"Adam Bell, Clim of the Clough and William of Cloudesley.md",WL-WORK-2158,"Adam Bell, Clim of the Clough and William of Cloudesley",,佚名,,,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.7 侠盗/00 侠盗文学|侠盗文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Afsaneh ／ 传说.md,WL-WORK-1523,Afsaneh / 传说,,尼玛·尤什吉,Nima Yushij,,WL-TOPIC-M3-MODERNISM,[[../30 专题/M3.1 现代主义/00 现代主义文学|现代主义文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Agents of Dreamland.md,WL-WORK-0491,Agents of Dreamland,,凯特琳·R.基尔南,Kiernan,,WL-TOPIC-G45-HORROR,[[../30 专题/QT4 恐怖与哥特/00 恐怖文学|恐怖文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Always Only You.md,WL-WORK-1939,Always Only You,,克洛伊·利泽,Chloe Liese,,WL-TOPIC-Q2-LOVE,[[../30 专题/QH2.1 爱情与欲望/00 爱情与欲望|爱情与欲望]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Ambiguity Machines and Other Stories.md,WL-WORK-0477,Ambiguity Machines and Other Stories,,万达娜·辛格,Vandana Singh,,WL-TOPIC-G45-SF,[[../30 专题/QT2 科幻/00 科幻文学|科幻文学]],,,,,自动通过,,,,,,,,,UNRESEARCHED,
American Indian Myths and Legends.md,WL-WORK-1346,American Indian Myths and Legends,,理查德·厄尔多斯 / 阿方索·奥尔蒂斯,Richard Erdoes / Alfonso Ortiz,,WL-TOPIC-G1-MYTH,[[../30 专题/QT9 神话、传说与民间叙事/00 世界神话文学|世界神话文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
An African in Greenland.md,WL-WORK-1347,An African in Greenland,,托戈·科波马西,Kpomassie,,WL-TOPIC-G7-TRAVEL,[[../30 专题/QT14 旅行与游记/00 旅行文学|旅行文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Aspremont.md,WL-WORK-2162,Aspremont,,佚名,,,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.2 欧洲骑士/00 欧洲骑士文学|欧洲骑士文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Auschwitz and After.md,WL-WORK-1941,Auschwitz and After,,夏洛特·德尔博,Charlotte Delbo,,WL-TOPIC-Q6-WAR,[[../30 专题/QH6 战争、暴力与创伤/00 战争文学|战争文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Ayesha at Last.md,WL-WORK-1942,Ayesha at Last,,乌兹玛·贾拉勒丁,Uzma Jalaluddin,,WL-TOPIC-Q2-LOVE,[[../30 专题/QH2.1 爱情与欲望/00 爱情与欲望|爱情与欲望]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Banalata Sen.md,WL-WORK-1524,Banalata Sen,,吉巴纳南达·达斯,Jibanananda Das,,WL-TOPIC-M3-MODERNISM,[[../30 专题/M3.1 现代主义/00 现代主义文学|现代主义文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Bar-20.md,WL-WORK-2166,Bar-20,,克拉伦斯·E.马尔福德,Clarence E. Mulford,,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.5 西部/00 西部文学|西部文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Before I Let Go.md,WL-WORK-1945,Before I Let Go,,肯尼迪·瑞安,Kennedy Ryan,,WL-TOPIC-Q2-LOVE,[[../30 专题/QH2.1 爱情与欲望/00 爱情与欲望|爱情与欲望]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Before She Sleeps.md,WL-WORK-0916,Before She Sleeps,,比娜·沙阿,Bina Shah,,WL-TOPIC-G46-DYSTOPIA,[[../30 专题/QT6 乌托邦、反乌托邦与社会想象/00 反乌托邦文学|反乌托邦文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Beirut Blues.md,WL-WORK-1946,Beirut Blues,,哈南·谢赫,Hanan al-Shaykh,,WL-TOPIC-Q6-WAR,[[../30 专题/QH6 战争、暴力与创伤/00 战争文学|战争文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Bet Me.md,WL-WORK-1947,Bet Me,,珍妮弗·克鲁西,Jennifer Crusie,,WL-TOPIC-Q2-LOVE,[[../30 专题/QH2.1 爱情与欲望/00 爱情与欲望|爱情与欲望]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Between the Woods and the Water.md,WL-WORK-1350,Between the Woods and the Water,,帕特里克·利·弗莫尔,Patrick Leigh Fermor,,WL-TOPIC-G7-TRAVEL,[[../30 专题/QT14 旅行与游记/00 旅行文学|旅行文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Bevis of Hampton.md,WL-WORK-2170,Bevis of Hampton,,佚名,,,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.2 欧洲骑士/00 欧洲骑士文学|欧洲骑士文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
BJ单身日记.md,WL-WORK-1948,BJ单身日记,,海伦·菲尔丁,Helen Fielding,,WL-TOPIC-Q2-LOVE,[[../30 专题/QH2.1 爱情与欲望/00 爱情与欲望|爱情与欲望]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
"Bless Me, Ultima.md",WL-WORK-2174,"Bless Me, Ultima",,鲁道夫·阿纳亚,Rudolfo Anaya,,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.5 西部/00 西部文学|西部文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Bread Givers.md,WL-WORK-0917,Bread Givers,,安齐娅·叶济尔斯卡,Anzia Yezierska,,WL-TOPIC-G43-BILDUNGSROMAN,[[../30 专题/QH2.5 童年与成长/00 成长文学|成长文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Brut.md,WL-WORK-2176,Brut,,亚瑟王出现,,,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.2 欧洲骑士/00 欧洲骑士文学|欧洲骑士文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Burnt Offerings.md,WL-WORK-0494,Burnt Offerings,,罗伯特·马拉斯科,Robert Marasco,,WL-TOPIC-G45-HORROR,[[../30 专题/QT4 恐怖与哥特/00 恐怖文学|恐怖文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Butcher's Crossing.md,WL-WORK-2179,Butcher's Crossing,,约翰·威廉斯,John Williams,,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.5 西部/00 西部文学|西部文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Cancioneiro Guasca.md,WL-WORK-2180,Cancioneiro Guasca,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.6 Gaucho/00 Gaucho文学|Gaucho文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Cangaceiros.md,WL-WORK-2181,Cangaceiros,,若泽·林斯·多雷戈,巴西,,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.7 侠盗/00 侠盗文学|侠盗文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Casos do Romualdo.md,WL-WORK-2183,Casos do Romualdo,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.6 Gaucho/00 Gaucho文学|Gaucho文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
"Changó, el gran putas.md",WL-WORK-1525,"Changó, el gran putas",,曼努埃尔·萨帕塔·奥利韦利亚,Afro-Latin史诗性书写,,WL-TOPIC-R6-LATAM,[[../30 专题/R6 拉丁美洲与加勒比/00 拉丁美洲文学|拉丁美洲文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
China Iron历险记.md,WL-WORK-1526,China Iron历险记,,加夫列拉·卡贝松·卡马拉,,,WL-TOPIC-R6-LATAM;WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO;WL-TOPIC-Q15-OUTLAW,[[../30 专题/R6 拉丁美洲与加勒比/00 拉丁美洲文学|拉丁美洲文学]];[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.6 Gaucho/00 Gaucho文学|Gaucho文学]];[[../30 专题/QT8.7 侠盗/00 侠盗文学|侠盗文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Cielitos.md,WL-WORK-2184,Cielitos,,巴托洛梅·伊达尔戈,Hidalgo,,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.6 Gaucho/00 Gaucho文学|Gaucho文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Color.md,WL-WORK-1527,Color,,康蒂·卡伦,Countee Cullen,,WL-TOPIC-M3-MODERNISM,[[../30 专题/M3.1 现代主义/00 现代主义文学|现代主义文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Contos Gauchescos.md,WL-WORK-2190,Contos Gauchescos,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.6 Gaucho/00 Gaucho文学|Gaucho文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Corrido de Gregorio Cortez.md,WL-WORK-2191,Corrido de Gregorio Cortez,,佚名,Gregorio Cortez,,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.7 侠盗/00 侠盗文学|侠盗文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Count Hannibal.md,WL-WORK-2192,Count Hannibal,,斯坦利·韦曼,Stanley Weyman,,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.4 欧洲剑客/00 欧洲剑客文学|欧洲剑客文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Cowboy Songs and Other Frontier Ballads.md,WL-WORK-2193,Cowboy Songs and Other Frontier Ballads,,约翰·A.洛马克斯,John A. Lomax,,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.5 西部/00 西部文学|西部文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Cracking India.md,WL-WORK-0919,Cracking India,,巴普西·西德瓦,Bapsi Sidhwa,,WL-TOPIC-G44-HISTORICAL,[[../30 专题/QT7 历史叙事/00 历史文学|历史文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Curial e Güelfa.md,WL-WORK-2194,Curial e Güelfa,,佚名,,,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.2 欧洲骑士/00 欧洲骑士文学|欧洲骑士文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
"Dark Continent, My Black Arse.md",WL-WORK-1353,"Dark Continent, My Black Arse",,西赫勒·库马洛,Sihle Khumalo,,WL-TOPIC-G7-TRAVEL,[[../30 专题/QT14 旅行与游记/00 旅行文学|旅行文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Dark Fire.md,WL-WORK-0921,Dark Fire,,C.J.桑瑟姆,C.J. Sansom,,WL-TOPIC-G44-HISTORICAL,[[../30 专题/QT7 历史叙事/00 历史文学|历史文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Dead in the West.md,WL-WORK-2196,Dead in the West,,乔·R.兰斯代尔,Joe R. Lansdale,,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.5 西部/00 西部文学|西部文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Delilah Green Doesn't Care.md,WL-WORK-1953,Delilah Green Doesn't Care,,阿什莉·赫林·布莱克,Ashley Herring Blake,,WL-TOPIC-Q2-LOVE,[[../30 专题/QH2.1 爱情与欲望/00 爱情与欲望|爱情与欲望]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Delirium.md,WL-WORK-0922,Delirium,,劳伦·奥利弗,Lauren Oliver,,WL-TOPIC-G46-DYSTOPIA,[[../30 专题/QT6 乌托邦、反乌托邦与社会想象/00 反乌托邦文学|反乌托邦文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Desert Solitaire.md,WL-WORK-2199,Desert Solitaire,,爱德华·艾比,Edward Abbey,,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.5 西部/00 西部文学|西部文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Destry Rides Again.md,WL-WORK-2200,Destry Rides Again,,马克斯·布兰德,Max Brand,,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.5 西部/00 西部文学|西部文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Devil in Winter.md,WL-WORK-1955,Devil in Winter,,丽莎·克莱帕斯,Lisa Kleypas,,WL-TOPIC-Q2-LOVE,[[../30 专题/QH2.1 爱情与欲望/00 爱情与欲望|爱情与欲望]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Dispatches.md,WL-WORK-1956,Dispatches,,迈克尔·赫尔,Michael Herr,,WL-TOPIC-Q6-WAR,[[../30 专题/QH6 战争、暴力与创伤/00 战争文学|战争文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Diálogos patrióticos.md,WL-WORK-2201,Diálogos patrióticos,,巴托洛梅·伊达尔戈,Hidalgo,,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.6 Gaucho/00 Gaucho文学|Gaucho文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Don Segundo Sombra.md,WL-WORK-2202,Don Segundo Sombra,,里卡多·吉拉尔德斯,Güiraldes,,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.6 Gaucho/00 Gaucho文学|Gaucho文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Dreaming in Cuban.md,WL-WORK-0923,Dreaming in Cuban,,克里斯蒂娜·加西亚,Cristina García,,WL-TOPIC-G43-FAMILY,[[../30 专题/QH2.3 家庭与家族/00 家庭与家族|家庭与家族]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Dungeon Crawler Carl.md,WL-WORK-0499,Dungeon Crawler Carl,,马特·丁尼曼,Matt Dinniman,,WL-TOPIC-G45-FANTASY,[[../30 专题/QT3 奇幻/00 奇幻文学|奇幻文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
El guacho Martín Fierro.md,WL-WORK-2206,El guacho Martín Fierro,,法里尼亚,Fariña,,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.6 Gaucho/00 Gaucho文学|Gaucho文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
El inglés de los güesos.md,WL-WORK-2207,El inglés de los güesos,,贝尼托·林奇,Lynch,,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.6 Gaucho/00 Gaucho文学|Gaucho文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
El Martín Fierro.md,WL-WORK-2208,El Martín Fierro,,博尔赫斯 / 玛格丽塔·格雷罗,Borges / Margarita Guerrero,,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.6 Gaucho/00 Gaucho文学|Gaucho文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
El matadero ／ 屠场.md,WL-WORK-2209,El matadero / 屠场,,埃斯特万·埃切维里亚,Esteban Echeverría,,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.6 Gaucho/00 Gaucho文学|Gaucho文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
El payador.md,WL-WORK-2211,El payador,,莱奥波尔多·卢贡内斯,Lugones,,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.6 Gaucho/00 Gaucho文学|Gaucho文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
El romance de un gaucho.md,WL-WORK-2212,El romance de un gaucho,,贝尼托·林奇,Lynch,,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.6 Gaucho/00 Gaucho文学|Gaucho文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
El Zarco.md,WL-WORK-2214,El Zarco,,伊格纳西奥·曼努埃尔·阿尔塔米拉诺,Ignacio Manuel Altamirano,,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.7 侠盗/00 侠盗文学|侠盗文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Eldorado.md,WL-WORK-2215,Eldorado,,奥希兹男爵夫人,Baroness Orczy,,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.4 欧洲剑客/00 欧洲剑客文学|欧洲剑客文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Erec.md,WL-WORK-2218,Erec,,哈特曼·冯·奥埃,Hartmann von Aue,,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.2 欧洲骑士/00 欧洲骑士文学|欧洲骑士文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Estoire del Saint Graal.md,WL-WORK-2220,Estoire del Saint Graal,,佚名,,,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.2 欧洲骑士/00 欧洲骑士文学|欧洲骑士文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Eustace the Monk.md,WL-WORK-2221,Eustace the Monk,,佚名,,,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW;WL-TOPIC-Q15-PIRATE,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.7 侠盗/00 侠盗文学|侠盗文学]];[[../30 专题/QT8.8 海盗/00 海盗文学|海盗文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Facial Justice.md,WL-WORK-0924,Facial Justice,,L.P.哈特利,L.P. Hartley,,WL-TOPIC-G46-DYSTOPIA,[[../30 专题/QT6 乌托邦、反乌托邦与社会想象/00 反乌托邦文学|反乌托邦文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
Fausto.md,WL-WORK-2225,Fausto,,埃斯塔尼斯劳·德尔·坎波,del Campo的,,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.6 Gaucho/00 Gaucho文学|Gaucho文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
