获奖年份,当年官方奖项类别,作品原名,作者,出版单位（官方页面记载）,是否同年双获奖,备注,官方来源URL
2001,Fiction,The Amazing Adventures of Kavalier & Clay,Michael Chabon,Random House,否,,https://www.pulitzer.org/prize-winners-by-category/219
2002,Fiction,Empire Falls,Richard Russo,Alfred A. Knopf,否,,https://www.pulitzer.org/prize-winners-by-category/219
2003,Fiction,Middlesex,Jeffrey Eugenides,Farrar,否,,https://www.pulitzer.org/prize-winners-by-category/219
2004,Fiction,The Known World,Edward P. Jones,Amistad/HarperCollins,否,,https://www.pulitzer.org/prize-winners-by-category/219
2005,Fiction,Gilead,Marilynne Robinson,Farrar,否,,https://www.pulitzer.org/prize-winners-by-category/219
2006,Fiction,March,Geraldine Brooks,Viking,否,,https://www.pulitzer.org/prize-winners-by-category/219
2007,Fiction,The Road,Cormac McCarthy,Alfred A. Knopf,否,,https://www.pulitzer.org/prize-winners-by-category/219
2008,Fiction,The Brief Wondrous Life of Oscar Wao,Junot Diaz,Riverhead Books,否,,https://www.pulitzer.org/prize-winners-by-category/219
2009,Fiction,Olive Kitteridge,Elizabeth Strout,Random House,否,,https://www.pulitzer.org/prize-winners-by-category/219
2010,Fiction,Tinkers,Paul Harding,Bellevue Literary Press,否,,https://www.pulitzer.org/prize-winners-by-category/219
2011,Fiction,A Visit from the Goon Squad,Jennifer Egan,Alfred A. Knopf,否,,https://www.pulitzer.org/prize-winners-by-category/219
2013,Fiction,The Orphan Master's Son,Adam Johnson,Random House,否,,https://www.pulitzer.org/prize-winners-by-category/219
2014,Fiction,The Goldfinch,Donna Tartt,"Little, Brown",否,,https://www.pulitzer.org/prize-winners-by-category/219
2015,Fiction,All the Light We Cannot See,Anthony Doerr,Scribner,否,,https://www.pulitzer.org/prize-winners-by-category/219
2016,Fiction,The Sympathizer,Viet Thanh Nguyen,Grove Press,否,,https://www.pulitzer.org/prize-winners-by-category/219
2017,Fiction,The Underground Railroad,Colson Whitehead,Doubleday,否,,https://www.pulitzer.org/prize-winners-by-category/219
2018,Fiction,Less,Andrew Sean Greer,"Lee Boudreaux Books/Little, Brown and Company",否,,https://www.pulitzer.org/prize-winners-by-category/219
2019,Fiction,The Overstory,Richard Powers,W.W. Norton,否,,https://www.pulitzer.org/prize-winners-by-category/219
2020,Fiction,The Nickel Boys,Colson Whitehead,Doubleday,否,,https://www.pulitzer.org/prize-winners-by-category/219
2021,Fiction,The Night Watchman,Louise Erdrich,Harper,否,,https://www.pulitzer.org/prize-winners-by-category/219
2022,Fiction,The Netanyahus: An Account of a Minor and Ultimately Even Negligible Episode in the History of a Very Famous Family,Joshua Cohen,New York Review Books,否,,https://www.pulitzer.org/prize-winners-by-category/219
2023,Fiction,Trust,Hernan Diaz,Riverhead Books,是,2023年同届双获奖作品之一,https://www.pulitzer.org/prize-winners-by-category/219
2023,Fiction,Demon Copperhead,Barbara Kingsolver,Harper,是,2023年同届双获奖作品之一,https://www.pulitzer.org/prize-winners-by-category/219
2024,Fiction,Night Watch,Jayne Anne Phillips,Knopf,否,,https://www.pulitzer.org/prize-winners-by-category/219
2025,Fiction,James,Percival Everett,Doubleday,否,,https://www.pulitzer.org/prize-winners-by-category/219
2026,Fiction,Angel Down,Daniel Kraus,Atria Books,否,,https://www.pulitzer.org/prize-winners-by-category/219
