获奖年份,当年官方奖名,奖项类型,作品原名,作者,出版单位,是否并列获奖,备注,官方来源URL
1983,Booker Prize,正式获奖,Life and Times of Michael K,J. M. Coetzee,Secker & Warburg,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1984,Booker Prize,正式获奖,Hotel du Lac,Anita Brookner,Jonathan Cape,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1985,Booker Prize,正式获奖,The Bone People,Keri Hulme,Hodder & Stoughton,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1986,Booker Prize,正式获奖,The Old Devils,Kingsley Amis,Hutchinson,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1987,Booker Prize,正式获奖,Moon Tiger,Penelope Lively,Deutsch,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1988,Booker Prize,正式获奖,Oscar and Lucinda,Peter Carey,Faber & Faber,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1989,Booker Prize,正式获奖,The Remains of the Day,Kazuo Ishiguro,Faber & Faber,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1990,Booker Prize,正式获奖,Possession: A Romance,A. S. Byatt,Chatto & Windus,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1991,Booker Prize,正式获奖,The Famished Road,Ben Okri,Jonathan Cape,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1992,Booker Prize,正式获奖,The English Patient,Michael Ondaatje,Bloomsbury,是,1992年并列获奖,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1992,Booker Prize,正式获奖,Sacred Hunger,Barry Unsworth,Hamish Hamilton,是,1992年并列获奖,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1993,Booker Prize,正式获奖,Paddy Clarke Ha Ha Ha,Roddy Doyle,Secker & Warburg,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1994,Booker Prize,正式获奖,"How Late It Was, How Late",James Kelman,Secker & Warburg,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1995,Booker Prize,正式获奖,The Ghost Road,Pat Barker,Viking,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1996,Booker Prize,正式获奖,Last Orders,Graham Swift,Picador,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1997,Booker Prize,正式获奖,The God of Small Things,Arundhati Roy,Flamingo,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1998,Booker Prize,正式获奖,Amsterdam,Ian McEwan,Jonathan Cape,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1999,Booker Prize,正式获奖,Disgrace,J. M. Coetzee,Secker & Warburg,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2000,Booker Prize,正式获奖,The Blind Assassin,Margaret Atwood,Bloomsbury,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2001,Booker Prize,正式获奖,True History of the Kelly Gang,Peter Carey,Faber & Faber,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2002,Man Booker Prize,正式获奖,Life of Pi,Yann Martel,Canongate,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2003,Man Booker Prize,正式获奖,Vernon God Little,DBC Pierre,Faber & Faber,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2004,Man Booker Prize,正式获奖,The Line of Beauty,Alan Hollinghurst,Picador,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2005,Man Booker Prize,正式获奖,The Sea,John Banville,Picador,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2006,Man Booker Prize,正式获奖,The Inheritance of Loss,Kiran Desai,Hamish Hamilton,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2007,Man Booker Prize,正式获奖,The Gathering,Anne Enright,Jonathan Cape,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2008,Man Booker Prize,正式获奖,The White Tiger,Aravind Adiga,Atlantic,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2009,Man Booker Prize,正式获奖,Wolf Hall,Hilary Mantel,4th Estate,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2010,Man Booker Prize,正式获奖,The Finkler Question,Howard Jacobson,Bloomsbury,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2011,Man Booker Prize,正式获奖,The Sense of an Ending,Julian Barnes,Jonathan Cape,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2012,Man Booker Prize,正式获奖,Bring Up the Bodies,Hilary Mantel,4th Estate,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2013,Man Booker Prize,正式获奖,The Luminaries,Eleanor Catton,Granta,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2014,Man Booker Prize,正式获奖,The Narrow Road to the Deep North,Richard Flanagan,Chatto & Windus,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2015,Man Booker Prize,正式获奖,A Brief History of Seven Killings,Marlon James,Oneworld Publications,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2016,Man Booker Prize,正式获奖,The Sellout,Paul Beatty,Oneworld,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2017,Man Booker Prize,正式获奖,Lincoln in the Bardo,George Saunders,Bloomsbury,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2018,Man Booker Prize,正式获奖,Milkman,Anna Burns,Faber & Faber,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2019,Booker Prize,正式获奖,The Testaments,Margaret Atwood,Chatto & Windus,是,2019年并列获奖,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2019,Booker Prize,正式获奖,"Girl, Woman, Other",Bernardine Evaristo,Hamish Hamilton,是,2019年并列获奖,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2020,Booker Prize,正式获奖,Shuggie Bain,Douglas Stuart,Picador,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2021,Booker Prize,正式获奖,The Promise,Damon Galgut,Chatto & Windus,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2022,Booker Prize,正式获奖,The Seven Moons of Maali Almeida,Shehan Karunatilaka,Sort of Books,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2023,Booker Prize,正式获奖,Prophet Song,Paul Lynch,Oneworld Publications,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2024,Booker Prize,正式获奖,Orbital,Samantha Harvey,Jonathan Cape,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
2025,Booker Prize,正式获奖,Flesh,David Szalay,Jonathan Cape,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
