获奖年份,当年官方类别,作品原名,作者,是否并列获奖,备注,官方来源URL
1971,Best Novel,Ringworld,Larry Niven,否,,https://www.thehugoawards.org/hugo-history/1971-hugo-awards/
1972,Best Novel,To Your Scattered Bodies Go,Philip José Farmer,否,,https://www.thehugoawards.org/hugo-history/1972-hugo-awards/
1973,Best Novel,The Gods Themselves,Isaac Asimov,否,,https://www.thehugoawards.org/hugo-history/1973-hugo-awards/
1974,Best Novel,Rendezvous with Rama,Arthur C. Clarke,否,,https://www.thehugoawards.org/hugo-history/1974-hugo-awards/
1975,Best Novel,The Dispossessed,Ursula K. Le Guin,否,,https://www.thehugoawards.org/hugo-history/1975-hugo-awards/
1976,Best Novel,The Forever War,Joe Haldeman,否,,https://www.thehugoawards.org/hugo-history/1976-hugo-awards/
1977,Best Novel,Where Late the Sweet Birds Sang,Kate Wilhelm,否,,https://www.thehugoawards.org/hugo-history/1977-hugo-awards/
1978,Best Novel,Gateway,Frederik Pohl,否,,https://www.thehugoawards.org/hugo-history/1978-hugo-awards/
1979,Best Novel,Dreamsnake,Vonda N. McIntyre,否,,https://www.thehugoawards.org/hugo-history/1979-hugo-awards/
1980,Best Novel,The Fountains of Paradise,Arthur C. Clarke,否,,https://www.thehugoawards.org/hugo-history/1980-hugo-awards/
1981,Best Novel,The Snow Queen,Joan D. Vinge,否,,https://www.thehugoawards.org/hugo-history/1981-hugo-awards/
1982,Best Novel,Downbelow Station,C. J. Cherryh,否,,https://www.thehugoawards.org/hugo-history/1982-hugo-awards/
1983,Best Novel,Foundation’s Edge,Isaac Asimov,否,,https://www.thehugoawards.org/hugo-history/1983-hugo-awards/
1984,Best Novel,Startide Rising,David Brin,否,,https://www.thehugoawards.org/hugo-history/1984-hugo-awards/
1985,Best Novel,Neuromancer,William Gibson,否,,https://www.thehugoawards.org/hugo-history/1985-hugo-awards/
1986,Best Novel,Ender’s Game,Orson Scott Card,否,,https://www.thehugoawards.org/hugo-history/1986-hugo-awards/
1987,Best Novel,Speaker for the Dead,Orson Scott Card,否,,https://www.thehugoawards.org/hugo-history/1987-hugo-awards/
1988,Best Novel,The Uplift War,David Brin,否,,https://www.thehugoawards.org/hugo-history/1988-hugo-awards/
1989,Best Novel,Cyteen,C. J. Cherryh,否,,https://www.thehugoawards.org/hugo-history/1989-hugo-awards/
1990,Best Novel,Hyperion,Dan Simmons,否,,https://www.thehugoawards.org/hugo-history/1990-hugo-awards/
1991,Best Novel,The Vor Game,Lois McMaster Bujold,否,,https://www.thehugoawards.org/hugo-history/1991-hugo-awards/
1992,Best Novel,Barrayar,Lois McMaster Bujold,否,,https://www.thehugoawards.org/hugo-history/1992-hugo-awards/
1993,Best Novel,A Fire Upon the Deep,Vernor Vinge,是,1993年并列获奖,https://www.thehugoawards.org/hugo-history/1993-hugo-awards/
1993,Best Novel,Doomsday Book,Connie Willis,是,1993年并列获奖,https://www.thehugoawards.org/hugo-history/1993-hugo-awards/
1994,Best Novel,Green Mars,Kim Stanley Robinson,否,,https://www.thehugoawards.org/hugo-history/1994-hugo-awards/
1995,Best Novel,Mirror Dance,Lois McMaster Bujold,否,,https://www.thehugoawards.org/hugo-history/1995-hugo-awards/
1996,Best Novel,The Diamond Age,Neal Stephenson,否,,https://www.thehugoawards.org/hugo-history/1996-hugo-awards/
1997,Best Novel,Blue Mars,Kim Stanley Robinson,否,,https://www.thehugoawards.org/hugo-history/1997-hugo-awards/
1998,Best Novel,Forever Peace,Joe Haldeman,否,,https://www.thehugoawards.org/hugo-history/1998-hugo-awards/
1999,Best Novel,To Say Nothing of the Dog,Connie Willis,否,,https://www.thehugoawards.org/hugo-history/1999-hugo-awards/
2000,Best Novel,A Deepness in the Sky,Vernor Vinge,否,,https://www.thehugoawards.org/hugo-history/2000-hugo-awards/
2001,Best Novel,Harry Potter and the Goblet of Fire,J. K. Rowling,否,,https://www.thehugoawards.org/hugo-history/2001-hugo-awards/
2002,Best Novel,American Gods,Neil Gaiman,否,,https://www.thehugoawards.org/hugo-history/2002-hugo-awards/
2003,Best Novel,Hominids,Robert J. Sawyer,否,,https://www.thehugoawards.org/hugo-history/2003-hugo-awards/
2004,Best Novel,Paladin of Souls,Lois McMaster Bujold,否,,https://www.thehugoawards.org/hugo-history/2004-hugo-awards/
2005,Best Novel,Jonathan Strange & Mr Norrell,Susanna Clarke,否,,https://www.thehugoawards.org/hugo-history/2005-hugo-awards/
2006,Best Novel,Spin,Robert Charles Wilson,否,,https://www.thehugoawards.org/hugo-history/2006-hugo-awards/
2007,Best Novel,Rainbows End,Vernor Vinge,否,,https://www.thehugoawards.org/hugo-history/2007-hugo-awards/
2008,Best Novel,The Yiddish Policemen’s Union,Michael Chabon,否,,https://www.thehugoawards.org/hugo-history/2008-hugo-awards/
2009,Best Novel,The Graveyard Book,Neil Gaiman,否,,https://www.thehugoawards.org/hugo-history/2009-hugo-awards/
2010,Best Novel,The City & The City,China Miéville,是,2010年并列获奖,https://www.thehugoawards.org/hugo-history/2010-hugo-awards/
2010,Best Novel,The Windup Girl,Paolo Bacigalupi,是,2010年并列获奖,https://www.thehugoawards.org/hugo-history/2010-hugo-awards/
2011,Best Novel,Blackout/All Clear,Connie Willis,否,,https://www.thehugoawards.org/hugo-history/2011-hugo-awards/
2012,Best Novel,Among Others,Jo Walton,否,,https://www.thehugoawards.org/hugo-history/2012-hugo-awards/
2013,Best Novel,Redshirts: A Novel with Three Codas,John Scalzi,否,,https://www.thehugoawards.org/hugo-history/2013-hugo-awards/
2014,Best Novel,Ancillary Justice,Ann Leckie,否,,https://www.thehugoawards.org/hugo-history/2014-hugo-awards/
2015,Best Novel,The Three-Body Problem,Cixin Liu,否,英文版译者：Ken Liu,https://www.thehugoawards.org/hugo-history/2015-hugo-awards/
2016,Best Novel,The Fifth Season,N. K. Jemisin,否,,https://www.thehugoawards.org/hugo-history/2016-hugo-awards/
2017,Best Novel,The Obelisk Gate,N. K. Jemisin,否,,https://www.thehugoawards.org/hugo-history/2017-hugo-awards/
2018,Best Novel,The Stone Sky,N. K. Jemisin,否,,https://www.thehugoawards.org/hugo-history/2018-hugo-awards/
2019,Best Novel,The Calculating Stars,Mary Robinette Kowal,否,,https://www.thehugoawards.org/hugo-history/2019-hugo-awards/
2020,Best Novel,A Memory Called Empire,Arkady Martine,否,,https://www.thehugoawards.org/hugo-history/2020-hugo-awards/
2021,Best Novel,Network Effect,Martha Wells,否,,https://www.thehugoawards.org/hugo-history/2021-hugo-awards/
2022,Best Novel,A Desolation Called Peace,Arkady Martine,否,,https://www.thehugoawards.org/hugo-history/2022-hugo-awards/
2023,Best Novel,Nettle & Bone,T. Kingfisher,否,,https://www.thehugoawards.org/hugo-history/2023-hugo-awards/
2024,Best Novel,Some Desperate Glory,Emily Tesh,否,,https://www.thehugoawards.org/hugo-history/2024-hugo-awards/
2025,Best Novel,The Tainted Cup,Robert Jackson Bennett,否,,https://www.thehugoawards.org/hugo-history/2025-hugo-awards/
